SOP_sales_organization_NA,SOP_sales_organization_A,SOP_sales_organization_B,Reseller
0,0,428,0
0,2094,0,NA
0,3,289,0
0,29,0,0
0,5,77,0
0,9,0,NA
0,4,44,0
0,80,2717,0
0,0,3,0
0,36,1785,0
0,1,31,0
0,0,2,0
0,3,4,0
0,563,0,0
0,8,212,0
0,31,903,NA
0,48,560,0
0,3,65,0
0,4,85,NA
0,78,532,0
0,16,81,0
0,0,1,NA
0,4,57,0
0,19,500,0
0,5,118,NA
0,0,4,0
0,0,71,0
0,0,179,NA
0,25,1010,0
0,1,3,0
0,113,0,0
0,0,19,0
0,4,206,0
0,0,74,NA
0,18,0,NA
0,21,1058,0
0,40,2,0
0,0,68,NA
0,0,4,0
0,10,0,0
0,22,148,0
0,11,223,0
0,30,780,0
0,0,46,0
0,0,59,0
0,0,2,0
0,0,35,NA
0,5,0,0
0,4,15,0
0,0,5,0
0,5,88,NA
0,0,9,0
0,0,32,0
0,12,0,NA
0,0,258,NA
0,10,29,0
0,0,15,0
0,0,33,0
0,2,1,0
0,1,33,NA
0,0,5,NA
0,8,419,0
0,0,40,0
0,18,0,0
0,0,10,0
0,18,1281,0
0,0,3,0
0,10,93,0
0,8,637,0
0,9,18,NA
0,4,34,0
0,7855,0,0
0,374,0,0
0,4,434,0
0,0,400,0
0,7,0,0
0,0,15,0
0,0,10,0
0,0,2,NA
0,6,15,0
0,1,4,0
0,0,2,NA
0,0,15,0
0,0,3,0
0,157,10,0
0,0,1,0
0,0,7,0
0,22,855,0
0,0,295,NA
0,0,1,0
0,13,2,0
0,4,9,0
0,424,904,0
0,0,34,0
0,5,2,0
0,8,1145,0
0,0,1,0
0,20,0,NA
0,22,95,NA
0,4,47,0
0,11,230,0
0,14,0,0
0,8,70,0
0,0,51,NA
0,6177,0,0
0,0,60,0
0,0,11,0
0,0,30,0
0,9,0,0
0,8,0,0
0,2,60,NA
0,13,2,0
0,0,488,0
0,14,262,0
0,0,229,NA
0,0,1,0
0,14,329,0
0,0,1,0
0,32,0,NA
0,2,1,NA
0,0,77,0
0,8,20,0
0,102,0,0
0,0,11,0
0,12,46,NA
0,0,27,0
0,8,97,NA
0,17,0,0
0,0,7,0
0,1,15,0
0,7,3,0
0,7,16,0
0,0,35,0
0,0,80,0
0,0,28,0
0,0,3,NA
0,13,322,0
0,11,0,0
0,0,2,0
0,10,1,NA
0,1275,0,0
0,42,13,0
0,0,38,NA
0,905,0,0
0,0,14,NA
0,0,12,0
0,5,436,0
0,178,29,0
0,66,3,0
0,14,340,0
0,36,1785,0
0,0,28,0
0,1,0,0
0,96,1147,0
0,7,291,0
0,1,38,0
0,265,0,0
0,52,40,0
0,1624,0,0
0,3,1508,0
0,2,110,NA
0,6518,0,0
0,6,497,0
0,15,134,NA
0,1,111,NA
0,14,90,0
0,106,5019,0
0,21,2525,0
0,0,1,0
0,0,73,0
0,416,0,NA
0,46,0,0
0,37,202,0
0,0,20,NA
0,3697,0,0
0,20,628,NA
0,2449,0,NA
0,5,527,0
0,0,7,0
0,9,731,0
0,0,12,NA
0,8,1,0
0,18,2418,0
0,0,25,0
0,0,3,0
0,40,0,0
0,71,0,0
0,5,2,0
0,22,47,0
0,2,171,NA
0,1331,0,0
0,4,33,0
0,0,8,NA
0,37,202,0
0,0,430,0
0,0,15,0
0,9,0,0
0,5,1,0
0,576,0,0
0,793,0,0
0,101,2320,0
0,0,145,0
0,19,139,0
0,0,63,NA
0,3,4,0
0,2927,0,0
0,16,81,NA
0,13,241,0
0,155,279,0
0,0,10,0
0,21303,0,0
0,22,778,0
0,0,79,0
0,0,11,0
0,0,21,0
0,144,4813,0
0,0,9,0
0,11,441,0
0,26,378,0
0,8,399,0
0,0,1,0
0,0,3,NA
0,0,2,NA
0,36,1785,0
0,5,101,0
0,95,702,0
0,0,17,0
0,4,35,NA
0,8,154,0
0,9,0,0
0,6,52,0
0,4,122,0
0,0,15,0
0,151,4608,NA
0,7,51,0
0,1,1010,0
0,0,244,0
0,1,102,0
0,6,30,0
0,599,0,0
0,171,4589,NA
0,19,1482,0
0,42,506,0
0,9309,0,0
0,35,116,0
0,4,44,0
0,2,59,0
0,9,241,NA
0,0,38,0
0,0,1,NA
0,109,0,NA
0,0,3,NA
0,98,41,0
0,0,26,0
0,0,3,0
0,8,1145,0
0,0,50,0
0,158,4759,0
0,0,236,NA
0,89,1578,1
0,2,0,0
0,10,31,0
0,0,18,0
0,4,28,0
0,40,0,NA
0,0,25,0
0,12,0,0
0,6,31,NA
0,48,2,NA
0,0,20,0
0,6,0,0
0,4,865,0
0,0,4,0
0,0,2,NA
0,92,0,NA
0,0,10,0
0,1,101,NA
0,6,96,0
0,6742,0,0
0,2027,0,0
0,77,4528,0
0,1,11,NA
0,11,1051,0
0,5,4,0
0,134,0,0
0,4,168,0
0,3,2,NA
0,7,0,0
0,32,1570,0
0,28,1,0
0,0,7,0
0,81,259,NA
0,0,258,NA
0,0,12,0
0,2,6,0
0,48,2,0
0,13,496,0
0,10,85,NA
0,0,141,0
0,7,946,NA
0,5,1,0
0,793,0,NA
0,0,7,0
0,9,157,0
0,89,1578,0
0,0,24,0
0,0,145,0
0,14,262,0
0,0,249,0
0,0,1,0
0,41,164,0
0,0,51,0
0,19,1482,0
0,0,15,0
0,4,45,0
0,0,2,0
0,58,0,0
0,0,1,NA
0,0,9,0
0,4,253,0
0,18,1,0
0,0,52,0
0,27,0,NA
0,0,3259,1
0,0,77,0
0,2,0,0
0,11,344,0
0,0,31,0
0,0,1,0
0,0,6,NA
0,2,290,0
0,4,0,0
0,4,698,0
0,0,16,0
0,6,229,0
0,14,169,0
0,4,14,0
0,0,2,0
0,0,8,0
0,0,6,0
0,88,944,0
0,0,1,NA
0,8,29,0
0,7,291,NA
0,4,0,0
0,0,400,0
0,14,475,NA
0,0,24,0
0,1,2,0
0,0,3,0
0,3,2,0
0,14,44,0
0,0,5,0
0,0,48,0
0,0,8,0
0,0,1,0
0,40,0,0
0,0,33,NA
0,13,496,0
0,25,566,0
0,0,3,NA
0,0,5,0
0,0,2,0
0,0,1,0
0,63,62,NA
0,13,1,NA
0,0,2,0
0,1,0,0
0,4,698,0
0,0,50,0
0,0,29,0
0,7,3898,0
0,171,0,NA
0,0,75,0
0,0,10,NA
0,3,0,NA
0,59,872,0
0,0,177,0
0,0,258,0
0,0,101,0
0,0,45,NA
0,4,263,NA
0,0,7,0
0,2,6,1
0,0,1,0
0,0,15,0
0,0,10,0
0,120,8561,0
0,0,62,NA
0,0,5,0
0,29,268,0
0,6,282,0
0,0,7,0
0,36,6,0
0,0,1,0
0,0,1,0
0,0,34,0
0,20,0,NA
0,0,3,0
0,0,1,NA
0,0,51,NA
0,0,2,0
0,8,11,0
0,12,0,0
0,33,0,0
0,91,0,0
0,5,1,1
0,75,586,1
0,11,20,1
0,0,16,1
0,198,5045,NA
0,0,8,1
0,156,3474,1
0,20,362,1
0,18,852,1
0,0,2,1
0,20,62,NA
0,0,145,1
0,182,759,1
0,8,17527,1
0,0,220,1
0,4,116,1
0,0,586,1
0,3,1740,1
0,0,25,1
0,0,1,1
0,0,21,1
0,6177,0,0
0,0,5,0
0,32,12017,0
0,1,15,0
0,0,110,0
0,16,116,NA
0,57,1895,0
0,0,10,0
0,0,45,0
0,0,3,0
0,0,3,0
0,10,1850,NA
0,0,1,0
0,0,116,0
0,2,0,NA
0,26,0,0
0,0,2,0
0,0,63,0
0,4,37,0
0,0,1,0
0,3,3,0
0,9,0,0
0,0,35,0
0,15,89,NA
0,4,7,0
0,0,1,0
0,0,333,0
0,0,353,0
0,0,4,0
0,11,60,0
0,42,2090,0
0,1,247,0
0,0,10,0
0,3,196,0
0,1217,0,0
0,0,9,0
0,0,1,0
0,0,2,0
0,0,71,0
0,264,0,0
0,14,340,0
0,518,0,0
0,4,199,0
0,0,4,0
0,17,3841,0
0,26,1792,0
0,0,2,0
0,0,8,0
0,0,163,0
0,1,9,NA
0,1,8,0
0,24,1838,0
0,17,20,NA
0,0,1,0
0,0,2,0
0,0,38,NA
0,0,1,0
0,0,10,0
0,9309,0,NA
0,0,1,0
0,7,3,0
0,66,3,0
0,0,1,0
0,0,1,0
0,2,26,0
0,0,3,NA
0,1,17,0
0,16,69,0
0,0,68,0
0,0,35,0
0,7,0,0
0,12,296,0
0,0,58,0
0,0,8,0
0,98,41,0
0,6,10,0
0,0,2,NA
0,0,1,NA
0,0,15,0
0,0,73,NA
0,0,10,0
0,0,16,NA
0,20,628,0
0,0,8,0
0,42,506,NA
0,67,0,0
0,1,33,0
0,7,0,NA
0,0,6,NA
0,14,42,NA
0,1,0,NA
0,94,392,1
0,0,11,NA
0,12,93,1
0,1508,24871,1
0,356,4221,NA
0,5,1,1
0,0,1,1
0,3,3,NA
0,285,3468,1
0,0,4,1
0,2,1,1
0,374,0,1
0,0,1,1
0,0,2017,1
0,0,74,1
0,292,0,1
0,2,62,1
0,0,15,1
0,0,1,NA
0,1,0,0
0,2,0,NA
0,79,2311,0
0,21,2,0
0,1,169,0
0,0,2,0
0,0,7,0
0,0,4,0
0,2,180,0
0,23,3256,0
0,29,0,0
0,21,11,0
0,24,0,0
0,0,17,0
0,0,25,0
0,174,4886,0
0,40,2259,NA
0,3,65,0
0,44,0,0
0,9,2,0
0,0,1,0
0,0,9,0
0,11,2646,0
0,24,1,0
0,0,1,0
0,0,38,NA
0,14,234,0
0,0,7,NA
0,7,39,0
0,0,41,NA
0,0,1,0
0,3,0,0
0,0,12,0
0,0,42,0
0,0,12,0
0,654,0,0
0,0,16,NA
0,0,44,0
0,0,1,0
0,27,1168,0
0,3,3,NA
0,1,190,0
0,1408,0,0
0,0,1,NA
0,1,88,NA
0,2,4,0
0,0,25,0
0,2377,0,0
0,9,12,0
0,0,28,0
0,211,4063,0
0,17,101,0
0,48,293,0
0,0,31,0
0,0,14,NA
0,31,339,0
0,16,59,0
0,40,0,0
0,54,0,0
0,1,372,NA
0,986,0,0
0,40,2,0
0,0,27,0
3,5467,0,0
0,11,0,0
5,58,242,0
0,0,6,0
0,3,0,0
0,46,0,0
0,11,223,0
0,20,242,0
0,0,9,0
0,1,10,0
0,0,12,0
0,0,1,0
0,0,10,0
0,3860,0,0
0,6,31,0
0,41,10,0
0,33,14,0
0,3336,0,NA
0,3,306,0
0,4,530,0
0,3,4,0
0,0,1,NA
0,42,709,0
0,0,45,NA
0,5,0,0
0,58,44,NA
0,0,7,0
0,19,112,0
0,10,246,NA
0,10,0,0
0,0,16,0
0,0,1,NA
0,0,16,0
0,151,4608,0
0,4,45,0
0,0,2,NA
0,2721,0,0
0,0,2,0
0,23,0,0
0,9,122,0
0,0,5,0
0,0,1,0
0,0,95,0
0,3,9,0
0,13,76,0
0,0,13,NA
0,0,41,0
0,0,1,0
0,71,121,NA
0,1451,0,0
0,2,158,0
0,0,108,0
0,0,13,0
0,5,961,NA
0,50,0,0
0,2281,0,0
0,7,134,0
0,367,47,NA
0,6,643,0
0,2,2,0
0,10,0,0
0,0,36,NA
0,0,386,0
0,0,99,0
0,13,54,0
0,0,6,NA
0,44,207,0
0,45,5,0
0,0,8,0
0,52,637,0
0,89,1578,0
0,14,601,NA
0,9,122,0
0,199,2463,0
0,2,26,0
0,0,69,0
0,8,23,0
0,6,3,0
0,185,0,0
0,1,142,0
0,6,74,0
0,4,50,0
0,20,14,0
0,1408,0,0
0,75,1520,0
0,816,0,0
0,71,474,0
0,0,225,0
0,8,78,0
0,8,5,0
0,2,0,0
0,4,7,NA
0,17,14,0
0,0,131,NA
0,10,11,0
0,0,68,0
0,3,92,0
0,13,107,0
0,20,54,0
0,11,1250,0
0,0,59,0
0,0,30,0
0,0,5,0
0,15,3,0
0,0,86,0
0,0,76,0
0,22,778,0
0,4,0,0
0,9,2,0
0,0,1,0
0,0,62,0
0,0,2,0
0,5,169,NA
0,2,155,0
0,43,0,0
0,0,1,0
0,15,399,0
0,3,794,0
0,26,120,0
0,0,18,0
0,4,17,0
0,13,76,0
0,0,178,NA
0,3,95,0
0,15,236,0
0,1,11,NA
0,0,35,0
0,0,72,0
0,8,154,NA
0,3,1,NA
0,0,5,NA
0,10,29,0
0,21303,0,0
0,0,10,NA
0,6,252,0
0,2721,0,0
0,41,397,0
0,18,91,0
0,22,58,0
0,0,2,NA
0,0,2,0
0,0,306,0
0,9309,0,0
0,1331,0,0
0,71,121,NA
0,5,130,0
0,0,3,0
0,12,86,0
0,1451,0,NA
0,1,1,0
0,88,944,0
0,8,41,0
0,0,3,0
0,0,1,NA
0,6,74,0
0,0,68,0
0,0,2,0
0,25,942,0
0,4,0,NA
0,22,628,NA
0,98,41,0
0,16,0,NA
0,4,206,0
0,15,0,0
0,0,8,0
0,0,9,0
0,0,124,0
0,0,1,NA
0,25,0,0
0,0,3,0
0,0,12,0
0,0,76,0
0,0,554,0
0,24,1,0
0,0,109,0
0,5,130,0
0,0,1,0
0,6177,0,0
0,14,262,0
0,4,3,NA
0,0,3,0
0,5,31,0
0,6,126,0
0,0,400,0
0,0,68,0
0,1,1,0
0,0,107,0
0,0,15,0
0,158,4759,0
0,0,1,0
0,5,295,NA
0,8,105,0
0,0,196,0
0,8,47,0
0,0,3789,0
0,0,5,0
0,0,5,0
0,10,180,0
0,56,168,NA
0,2,10,0
0,60,0,0
0,6,74,0
0,14,47,0
0,0,43,0
0,13,272,0
0,565,0,NA
0,0,1,0
0,27,1584,NA
0,20,46,0
0,0,3,0
0,16,1475,NA
0,50,2406,NA
0,0,4,0
0,0,179,0
0,0,1,0
0,8,276,0
0,0,1,0
0,0,30,0
0,0,3,1
0,3,0,0
0,9,0,0
0,0,4,NA
0,0,29,0
0,1,23,0
0,4,301,0
1,72,806,0
0,0,2,0
0,2,1,0
0,9,1,0
1,4,130,0
0,22,664,NA
0,25,942,0
0,28,753,NA
0,0,110,0
0,0,2,0
0,0,24,0
0,17,1083,0
0,4,21,NA
0,0,1,0
0,0,5,0
0,0,179,0
0,4,168,NA
0,0,4,NA
0,0,1,NA
0,0,1,NA
0,0,8,0
0,1,3,0
0,0,3,0
0,816,0,0
0,0,1,0
0,4,184,0
0,0,3,NA
0,0,5,0
0,12,1,0
0,0,7,0
0,4,49,0
0,1,0,NA
0,494,0,NA
0,5,313,1
0,3,70,1
0,3,9,1
0,0,353,1
0,421,7532,1
0,17,3841,1
0,0,76,1
0,0,2799,1
0,4,57,1
0,0,4,1
0,24,1,1
0,56,168,1
0,0,2,NA
0,5,158,1
0,5,47,1
0,8,107,0
0,1,1,NA
0,1,0,0
0,0,18,0
0,47,0,0
0,0,30,0
0,71,474,0
0,6,229,0
0,4,47,NA
0,0,46,0
0,5,54,0
0,0,22,NA
0,14,31,0
0,2,307,0
0,35,170,0
0,0,15,0
0,66,3,NA
0,28,915,0
0,0,133,0
0,0,12,0
0,1,13,0
0,0,11,0
0,0,3,0
0,0,14,0
0,0,6,NA
0,2,171,0
0,4,14,0
0,0,7,0
0,356,4221,NA
0,82,0,0
0,0,6,0
0,8,0,0
0,0,8,0
0,0,551,0
0,0,1,0
0,91,129,NA
0,0,27,0
0,3,7,0
0,14,0,0
0,24,9,NA
0,3,0,NA
0,4,515,0
0,0,64,0
0,9,18,0
0,0,6,0
0,0,3,0
0,0,110,0
0,76,446,NA
0,4,0,0
0,108,594,0
0,11,80,NA
0,4,19,0
0,0,24,0
0,0,10,0
0,18,649,0
0,14,3,0
0,275,7,0
0,1,22,0
0,4,5,0
0,22,341,0
0,6,3,NA
0,16,842,0
0,21,307,0
0,5,101,0
0,0,6,NA
0,11,144,0
0,0,1,0
0,0,15,0
0,0,18,NA
0,18,1281,0
0,29,926,0
0,14,169,NA
0,1018,0,0
0,5,129,0
0,0,18,0
0,0,3789,0
0,0,10,0
0,20,1275,0
0,63,1,NA
0,20,362,0
0,3,528,0
0,42,13,0
0,16,69,0
0,2,2,NA
0,376,0,0
0,0,1,0
0,9,700,0
0,22,664,0
0,11,490,NA
0,0,2,0
0,17,423,0
0,1,33,NA
0,27,1584,0
0,10,499,0
0,5,44,0
0,5,130,0
0,30,85,0
0,0,141,0
0,0,3,NA
0,1,128,0
0,2,158,0
0,0,1,0
0,10,93,NA
0,576,0,NA
0,30,3384,0
0,0,4,0
0,0,77,1
0,165,2844,0
0,39,248,NA
0,0,38,0
0,6,196,0
0,2,158,0
0,1,14,0
0,7,638,0
0,19,139,0
1,72,806,0
0,6,31,0
0,0,51,0
0,4,0,0
0,0,1,0
0,0,38,0
0,0,1,0
0,0,7,NA
0,13,54,NA
0,0,1,0
0,2027,0,0
0,0,18,0
0,96,1147,0
0,0,13,0
0,0,40,0
0,0,32,0
0,56,168,0
0,33,2683,NA
0,6,0,1
0,3,44,0
0,0,2,0
0,4,0,0
0,2,171,0
0,48,560,NA
0,2063,0,0
0,30,780,0
0,4,7,0
0,28,19,0
0,0,3,0
0,0,2,0
0,50,2406,0
0,76,446,0
0,88,944,0
0,7,19,NA
0,33,2683,0
0,0,6,0
0,0,6,0
0,0,41,0
0,6,104,0
0,5,139,0
0,0,22,0
0,24,1838,NA
0,21,2,NA
0,0,1,0
0,0,1,0
0,0,30,0
0,1981,0,0
0,0,229,0
0,0,20,0
0,0,10,NA
0,16,353,0
0,0,92,0
0,0,31,NA
0,4,14,0
0,0,15,0
0,9,2,0
0,52,173,0
0,0,105,0
0,0,71,0
0,7,137,0
0,5,306,0
0,101,1188,NA
0,0,62,0
0,0,7,0
0,7,3898,0
0,3,0,0
0,0,1,0
0,1,47,0
0,6,141,NA
0,10,49,0
0,0,141,0
0,485,0,0
0,0,25,0
0,3,28,0
0,12,0,NA
0,1,9,0
0,0,10,NA
0,2,51,0
0,6,0,0
0,75,1520,0
0,25,942,0
0,0,10,0
0,0,7,0
0,1,189,0
0,0,8,0
0,2,0,0
0,8,38,0
0,89,1578,0
0,0,10,0
0,0,16,NA
0,0,8,NA
0,8,8930,0
0,0,24,NA
0,31,339,0
0,0,1,0
0,23,303,0
0,3,306,0
0,9,0,0
0,0,1,0
0,2063,0,0
0,0,2,0
0,12,0,0
0,4,515,NA
0,14,0,0
0,0,23,0
0,0,59,0
0,0,3,0
0,3,190,NA
0,8,75,0
0,0,4,NA
0,50,82,NA
0,21,49,0
0,0,1,NA
0,0,5,0
0,0,45,0
0,0,45,0
0,0,14,NA
0,8,1,1
0,0,6,0
0,9,1,0
0,45,3,0
0,4,301,0
0,0,23,0
0,2,210,0
0,5,77,0
0,0,1,0
0,0,12,NA
0,21,2525,0
0,0,4,NA
0,7,0,NA
0,0,4,0
0,14,90,0
0,2,161,0
0,12,75,NA
0,0,1,0
0,3,191,0
0,0,19,0
0,2,140,0
0,469,0,0
0,0,2,0
0,0,8,NA
0,2,0,0
0,31,903,0
0,0,10,0
0,19,112,0
0,0,203,0
0,0,3,0
0,19,1482,NA
0,0,11,0
0,50,2406,0
0,2,110,0
0,2,83,NA
0,3,1,0
0,17,0,0
0,17,423,0
0,0,14,0
0,0,1,0
0,0,14,0
0,0,15,0
0,18,0,0
0,0,6,0
0,0,2,0
0,0,2,0
0,0,64,0
0,0,1,0
0,0,28,NA
0,171,4589,0
0,0,41,0
0,0,4,0
0,0,26,0
0,31,339,0
0,5,18,0
0,0,7,0
0,0,4,0
0,1,102,0
0,8,17527,NA
0,0,2,1
0,1,7,1
0,0,3,1
0,0,11,1
0,71,0,1
0,6,108,1
0,0,10,1
0,0,3,1
0,0,68,NA
0,265,0,1
0,4,45,1
0,5,169,1
0,518,9015,NA
0,27,677,1
0,0,20,1
1,0,18,1
0,0,948,1
0,24,1838,1
0,0,1,1
0,0,148,1
0,35,170,1
0,3,190,0
0,0,25,0
0,2,0,0
0,1,0,0
0,174,4886,0
0,1,120,NA
0,0,3,0
0,2,0,NA
0,4,37,NA
0,0,1,0
0,4,38,0
0,0,285,0
0,416,0,0
0,0,1,0
0,0,190,0
0,0,1,NA
0,14,529,0
0,0,179,0
0,6,104,NA
0,111,2130,0
0,0,86,0
0,2,6,0
0,0,4,NA
0,17,1083,0
0,0,15,NA
0,8,2,0
0,0,1,NA
0,0,12,NA
0,0,3,NA
0,67,0,0
0,16,81,0
0,18,0,0
0,32,1570,0
0,10,0,0
0,8,1,NA
0,0,12,0
0,13,29,0
0,5,18,0
0,10,4,NA
0,9,241,0
0,50,82,0
0,4,13,0
0,4,0,0
0,18,9,0
0,1,0,0
0,25,1010,0
0,7,6,0
0,4,34,0
0,15,0,0
0,0,4,NA
0,290,0,0
0,0,3,0
0,2721,0,0
0,6518,0,0
0,18,2,0
0,11,344,0
0,374,0,NA
0,1,0,0
0,0,59,NA
0,0,3,1
0,4,5365,1
0,75,586,1
0,8,107,1
0,0,76,1
0,66,3,1
0,11,20,1
0,0,20,1
0,11,53,1
0,7,137,NA
0,264,2102,1
0,16,184,1
0,0,1,1
0,0,1,1
0,0,148,1
0,0,3285,NA
0,0,33,NA
0,18,1281,1
0,9,0,1
0,0,9,1
0,0,1,1
0,0,1,NA
0,156,3474,0
0,131,0,0
0,0,5,0
0,4,184,0
0,10,81,0
0,4,118,0
0,1,48,0
0,1,9,0
0,0,4,0
0,36,0,NA
0,15,134,0
0,0,36,0
0,6707,0,NA
0,11,95,NA
0,76,446,NA
0,8,304,0
0,0,2,0
0,0,6,0
0,30,7,0
0,7,252,NA
0,12,1,0
0,111,2130,0
0,0,8,0
0,4,551,NA
0,1,18,0
0,32,12017,0
0,6,7,0
0,63,1,0
0,1,88,0
0,13,645,0
0,18,649,0
0,40,0,NA
0,0,4,0
0,5,0,NA
0,0,7,0
0,0,35,0
0,0,177,0
0,4,5365,NA
0,31,339,0
0,1,28,0
0,3,0,0
0,0,240,0
0,28,0,0
0,13,496,0
0,26,120,NA
0,24,122,NA
0,905,0,NA
0,0,4,0
0,0,24,0
0,0,15,0
0,0,225,0
0,22,148,0
0,2,161,0
0,10,1,0
0,59,872,0
0,48,293,0
0,787,0,0
0,0,6,0
0,65,0,0
0,13,38,0
0,12,0,0
0,40,2259,0
0,96,1147,0
0,0,4,0
0,14,340,0
0,0,8,0
0,12,2856,0
0,1,2,0
0,14,44,0
0,734,0,NA
0,4,21,0
0,4,0,0
0,30,85,NA
0,128,10,0
0,0,244,NA
0,12,229,NA
0,5,527,NA
0,9,54,0
5,58,242,0
0,36,8,NA
0,4,0,0
0,24,1774,0
0,0,1,0
0,0,18,0
0,6,135,0
0,6,282,NA
0,182,759,0
0,6177,0,0
0,36,0,NA
0,1,6,0
0,0,8,NA
0,0,94,0
0,5,9,0
0,1,26,0
0,0,18,0
0,28,966,0
0,5,153,NA
0,2449,0,0
0,4,759,NA
0,1,19,0
0,42,2090,0
0,3,1508,0
0,0,35,0
0,1,35,NA
0,11,223,0
0,0,2,0
0,2,0,NA
0,7855,0,0
0,3,1306,0
0,0,18,0
0,30,7,0
0,0,5,0
0,21,333,0
0,13,645,0
0,6,10,NA
0,11,95,0
0,184,58,0
0,518,0,0
0,0,1,NA
0,0,4,0
0,17,3,0
0,5,0,NA
0,11,80,0
0,0,1,NA
0,40,923,0
0,0,1,0
0,0,6,0
0,4,265,0
0,0,179,0
0,0,3,0
0,221,0,0
0,11,2646,NA
0,0,21,0
0,9,157,0
0,41,3,0
0,31,29,0
0,76,446,0
0,3,191,0
0,0,5,0
0,0,2,0
0,0,145,NA
0,0,51,NA
0,3,2,0
0,5,54,0
0,1,58,NA
0,0,4,0
0,26,286,NA
0,2094,0,NA
0,0,57,0
0,8,12,0
0,0,20,0
0,1,6,0
0,2,1,NA
0,4,33,0
0,0,1,0
0,1,2,0
0,22,27,0
0,0,25,0
0,17,855,0
0,376,0,0
0,0,3,0
0,157,936,0
0,0,1,NA
0,0,5,NA
0,1359,0,NA
0,18,649,0
0,4,116,NA
0,13,496,NA
0,0,5,0
0,11,0,0
0,0,68,0
0,58,0,NA
0,0,7,0
0,0,16,0
0,0,36,0
0,3,2,0
0,5,62,0
0,0,4,0
0,22,664,NA
0,0,28,NA
0,13,70,0
0,5,88,0
0,0,611,0
0,33,26,NA
0,6,15,0
0,7,32,0
0,29,926,0
0,0,40,0
0,0,11,0
0,26,889,0
0,15,0,0
0,0,52,0
0,1,0,0
0,6,140,0
1,1125,0,0
0,17,20,0
0,0,6,0
0,0,1,NA
0,0,15,0
0,4,53,0
0,0,148,0
0,4,85,NA
0,8,0,NA
0,0,11,NA
0,23,1202,0
0,14,1,0
0,35,124,0
0,33,0,0
0,0,225,NA
0,144,4813,0
0,3,0,0
0,44,207,0
0,2,154,0
0,92,0,0
0,0,13,NA
0,0,9,0
0,10,0,0
0,0,28,NA
0,34,0,0
0,4,357,0
0,1,243,NA
0,0,60,NA
0,1,1010,0
0,40,0,NA
0,8,70,0
0,5,51,0
0,0,586,NA
0,11,0,0
0,0,50,NA
0,0,18,0
0,0,109,0
0,0,2,0
0,0,12,0
0,3,49,NA
0,76,1530,0
0,1,1,NA
0,13,241,0
0,10,5,0
0,18,1281,0
0,0,14,0
0,3,65,NA
0,11,1051,NA
0,0,5,0
0,0,36,0
0,3,0,0
0,0,10,0
0,4,164,NA
0,0,11,0
0,18,1719,0
0,0,14,0
0,0,16,NA
0,20,14,0
0,1,339,0
0,3,2,NA
0,1394,0,0
0,0,7,0
0,0,79,0
0,0,91,0
7,531,877,NA
0,4,551,0
0,14,329,NA
0,5,0,NA
0,0,141,0
0,0,1,0
0,1,60,0
0,28,0,1
0,13,1,0
1,72,806,1
0,0,39,0
0,14,167,0
0,39,248,0
0,16,184,0
0,1,0,0
0,0,1,0
0,0,2,0
0,0,5,0
0,0,1,0
0,0,1,NA
0,9,2,NA
0,0,1,NA
0,5,169,0
0,0,20,0
0,0,38,NA
0,7,2,0
0,12,93,NA
0,0,2,NA
0,0,13,0
