,SOP_BU_A,SOP_BU_B,SOP_BU_C,Reseller
300,5,2,-1,0
301,610,44,86,0
302,10,2,-1,NA
303,-1,8,1,0
304,1434,1000,2,0
305,8,17,-1,0
306,3,-1,-1,0
307,-1,-1,40,0
308,-1,-1,71,0
309,2,5,-1,0
310,18,-1,51,0
311,99,38,36,NA
312,1331,-1,-1,0
313,29,4,4,0
314,7,1,-1,NA
315,5,-1,234,0
316,391,38,1,0
317,14,1,-1,0
318,-1,9,-1,0
319,6,-1,-1,0
320,476,51,49,0
321,-1,-1,793,0
322,2009,334,78,0
323,-1,145,-1,0
324,-1,-1,158,0
325,-1,-1,63,NA
326,7,-1,-1,0
327,2901,-1,26,0
328,71,25,1,NA
329,154,70,30,0
330,328,77,29,0
331,7,3,-1,0
332,21302,-1,1,0
333,418,203,179,0
334,62,17,-1,0
335,-1,4,7,0
336,10,-1,11,0
337,4158,447,352,0
338,6,3,-1,0
339,225,80,147,0
340,-1,404,-1,0
341,304,28,75,0
342,1,-1,-1,0
343,-1,2,1,NA
344,2,-1,-1,NA
345,867,565,389,0
346,72,34,-1,0
347,422,82,293,0
348,12,2,3,0
349,35,2,2,NA
350,44,12,106,0
351,-1,-1,9,0
352,22,15,21,0
353,106,20,-1,0
354,15,-1,-1,0
355,2166,485,2108,NA
356,3,-1,55,0
357,688,183,140,0
358,133,77,34,0
359,72,25,6,0
360,35,1,-1,0
361,599,-1,-1,0
362,3640,1113,7,NA
363,279,54,1168,0
364,271,32,245,0
365,-1,-1,9309,0
366,101,32,18,0
367,27,18,3,0
368,55,6,-1,0
369,163,5,82,NA
370,8,30,-1,0
371,-1,1,-1,NA
372,86,8,15,NA
373,-1,2,1,NA
374,-1,-1,139,0
375,-1,26,-1,0
376,-1,-1,3,0
377,1078,32,43,0
378,39,10,1,0
379,4280,250,387,0
380,64,6,166,NA
381,1117,159,391,1
382,-1,2,-1,0
383,1,-1,40,0
384,5,7,6,0
385,23,9,-1,0
386,-1,-1,40,NA
387,8,17,-1,0
388,4,5,3,0
389,8,8,21,NA
390,40,2,8,NA
391,-1,20,-1,0
392,-1,2,4,0
393,473,391,5,0
394,-1,4,-1,0
395,2,-1,-1,NA
396,-1,-1,92,NA
397,-1,10,-1,0
398,80,5,17,NA
399,80,22,-1,0
400,6742,-1,-1,0
401,-1,-1,2027,0
402,2971,534,1100,0
403,7,3,2,NA
404,809,147,106,0
405,-1,-1,9,0
406,-1,134,-1,0
407,78,28,66,0
408,5,-1,-1,NA
409,-1,6,1,0
410,683,315,604,0
411,24,5,-1,0
412,-1,7,-1,0
413,211,20,109,NA
414,147,84,27,NA
415,6,6,-1,0
416,7,1,-1,0
417,40,2,8,0
418,290,75,144,0
419,37,12,46,NA
420,3,-1,138,0
421,189,82,682,NA
422,5,-1,1,0
423,-1,-1,793,NA
424,7,-1,-1,0
425,133,30,3,0
426,1117,159,391,0
427,24,-1,-1,0
428,-1,145,-1,0
429,150,80,46,0
430,191,18,40,0
431,1,-1,-1,0
432,120,25,60,0
433,-1,51,-1,0
434,279,54,1168,0
435,13,2,-1,0
436,30,1,18,0
437,-1,2,-1,0
438,33,-1,25,0
439,-1,1,-1,NA
440,7,2,-1,0
441,234,17,6,0
442,-1,19,-1,0
443,33,1,18,0
444,6,4,17,NA
445,1732,390,1137,1
446,51,26,-1,0
447,-1,2,-1,0
448,87,187,81,0
449,28,3,-1,0
450,1,-1,-1,0
451,-1,6,-1,NA
452,242,28,22,0
453,-1,3,1,0
454,403,156,143,0
455,12,-1,4,0
456,66,18,151,0
457,4,-1,179,0
458,-1,18,-1,0
459,-1,2,-1,0
460,-1,8,-1,0
461,-1,6,-1,0
462,440,58,534,0
463,1,-1,-1,NA
464,-1,37,-1,0
465,31,32,235,NA
466,-1,4,-1,0
467,160,69,171,0
468,173,14,302,NA
469,-1,14,10,0
470,1,2,-1,0
471,-1,-1,3,0
472,5,-1,-1,0
473,6,-1,52,0
474,2,3,-1,0
475,13,6,29,0
476,-1,8,-1,0
477,-1,1,-1,0
478,4,-1,36,0
479,-1,33,-1,NA
480,290,75,144,0
481,468,118,5,0
482,-1,-1,3,NA
483,2,3,-1,0
484,-1,2,-1,0
485,1,-1,-1,0
486,57,28,40,NA
487,-1,1,13,NA
488,2,-1,-1,0
489,-1,1,-1,0
490,403,156,143,0
491,2,7,41,0
492,-1,2,27,0
493,2710,243,952,0
494,9,-1,162,NA
495,68,7,-1,0
496,10,-1,-1,NA
497,-1,2,1,NA
498,833,43,55,0
499,127,38,12,0
500,147,84,27,0
501,69,24,8,0
502,42,3,-1,NA
503,153,107,7,NA
504,-1,7,-1,0
505,4,2,2,1
506,1,-1,-1,0
507,-1,-1,15,0
508,10,-1,-1,0
509,4843,1591,2247,0
510,16,4,42,NA
511,-1,5,-1,0
512,93,14,190,0
513,253,10,25,0
514,-1,-1,7,0
515,-1,-1,42,0
516,-1,-1,1,0
517,1,-1,-1,0
518,-1,-1,34,0
519,4,-1,16,NA
520,-1,3,-1,0
521,-1,1,-1,NA
522,39,5,7,NA
523,-1,2,-1,0
524,-1,-1,19,0
525,-1,12,-1,0
526,-1,-1,33,0
527,48,43,-1,0
528,5,-1,1,1
529,28,6,627,1
530,3,2,26,1
531,12,4,-1,1
532,3505,816,922,NA
533,6,2,-1,1
534,2158,620,852,1
535,184,75,123,1
536,628,179,63,1
537,2,-1,-1,1
538,45,24,13,NA
539,-1,145,-1,1
540,504,182,255,1
541,11821,2679,3035,1
542,171,49,-1,1
543,62,21,37,1
544,569,17,-1,1
545,1178,273,292,1
546,15,6,4,1
547,-1,-1,1,1
548,14,4,3,1
549,6177,-1,-1,0
550,-1,-1,5,0
551,8716,993,2340,0
552,9,7,-1,0
553,66,36,8,0
554,91,22,19,NA
555,1769,183,-1,0
556,-1,-1,10,0
557,-1,38,7,0
558,3,-1,-1,0
559,-1,2,1,0
560,1117,606,137,NA
561,-1,1,-1,0
562,50,-1,66,0
563,-1,2,-1,NA
564,-1,-1,26,0
565,2,-1,-1,0
566,-1,-1,63,0
567,18,9,14,0
568,-1,-1,1,0
569,-1,-1,6,0
570,1,8,-1,0
571,-1,1,34,0
572,89,14,1,NA
573,-1,-1,11,0
574,-1,1,-1,0
575,231,7,95,0
576,256,53,44,0
577,4,-1,-1,0
578,35,25,11,0
579,1424,386,322,0
580,202,3,43,0
581,4,-1,6,0
582,167,8,24,0
583,-1,-1,1217,0
584,2,7,-1,0
585,-1,1,-1,0
586,2,-1,-1,0
587,59,12,-1,0
588,-1,8,256,0
589,228,60,66,0
590,223,96,199,0
591,164,29,10,0
592,-1,4,-1,0
593,2709,641,508,0
594,1302,22,494,0
595,2,-1,-1,0
596,-1,-1,8,0
597,44,35,84,0
598,-1,10,-1,NA
599,-1,-1,9,0
600,1457,218,187,0
601,24,12,1,NA
602,-1,1,-1,0
603,-1,-1,2,0
604,23,-1,15,NA
605,-1,1,-1,0
606,4,-1,6,0
607,-1,-1,9309,NA
608,-1,1,-1,0
609,-1,9,1,0
610,4,-1,65,0
611,-1,1,-1,0
612,1,-1,-1,0
613,-1,28,-1,0
614,3,-1,-1,NA
615,17,1,-1,0
616,35,4,46,0
617,36,15,17,0
618,13,22,-1,0
619,-1,6,1,0
620,156,22,130,0
621,33,10,15,0
622,2,6,-1,0
623,-1,-1,139,0
624,1,-1,15,0
625,-1,2,-1,NA
626,1,-1,-1,NA
627,-1,-1,15,0
628,38,9,26,NA
629,4,-1,6,0
630,9,4,3,NA
631,358,84,206,0
632,-1,8,-1,0
633,271,32,245,NA
634,39,7,21,0
635,27,4,3,0
636,4,3,-1,NA
637,3,3,-1,NA
638,21,10,25,NA
639,-1,-1,1,NA
640,271,59,156,1
641,-1,11,-1,NA
642,78,11,16,1
643,19201,2850,4328,1
644,2530,490,1557,NA
645,5,-1,1,1
646,1,-1,-1,1
647,-1,6,-1,NA
648,2212,428,1113,1
649,4,-1,-1,1
650,2,1,-1,1
651,374,-1,-1,1
652,1,-1,-1,1
653,1494,305,218,1
654,44,2,28,1
655,-1,-1,292,1
656,39,15,10,1
657,14,1,-1,1
658,-1,-1,1,NA
659,-1,1,-1,0
660,-1,2,-1,NA
661,1067,399,924,0
662,2,17,4,0
663,142,25,3,0
664,1,1,-1,0
665,5,2,-1,0
666,-1,4,-1,0
667,110,-1,72,0
668,2191,368,720,0
669,19,9,1,0
670,1,30,1,0
671,-1,24,-1,0
672,12,2,3,0
673,17,8,-1,0
674,1780,951,2329,0
675,1750,306,243,NA
676,38,24,6,0
677,-1,1,43,0
678,-1,11,-1,0
679,1,-1,-1,0
680,6,3,-1,0
681,2260,116,281,0
682,-1,25,-1,0
683,1,-1,-1,0
684,-1,38,-1,NA
685,172,43,33,0
686,5,2,-1,NA
687,-1,46,-1,0
688,10,3,28,NA
689,-1,1,-1,0
690,-1,3,-1,0
691,-1,12,-1,0
692,-1,42,-1,0
693,4,8,-1,0
694,654,-1,-1,0
695,9,7,-1,NA
696,40,4,-1,0
697,1,-1,-1,0
698,768,162,265,0
699,-1,-1,6,NA
700,149,40,2,0
701,-1,-1,1408,0
702,-1,1,-1,NA
703,27,8,54,NA
704,4,-1,2,0
705,-1,-1,25,0
706,-1,-1,2377,0
707,2,19,-1,0
708,13,15,-1,0
709,2958,257,1059,0
710,67,40,11,0
711,303,-1,38,0
712,28,3,-1,0
713,14,-1,-1,NA
714,343,26,1,0
715,23,36,16,0
716,-1,-1,40,0
717,-1,-1,54,0
718,303,44,26,NA
719,983,-1,3,0
720,7,-1,35,0
721,22,4,1,0
722,5470,-1,-1,0
723,-1,10,1,0
724,106,115,84,0
725,-1,-1,6,0
726,3,-1,-1,0
727,18,-1,28,0
728,104,5,125,0
729,185,33,44,0
730,6,3,-1,0
731,5,6,-1,0
732,4,8,-1,0
733,1,-1,-1,0
734,10,-1,-1,0
735,3822,-1,38,0
736,8,8,21,0
737,12,-1,39,0
738,38,4,5,0
739,1,-1,3335,NA
740,5,13,291,0
741,534,-1,-1,0
742,7,-1,-1,0
743,-1,-1,1,NA
744,277,113,361,0
745,-1,38,7,NA
746,-1,5,-1,0
747,74,28,-1,NA
748,7,-1,-1,0
749,117,14,-1,0
750,176,65,15,NA
751,-1,-1,10,0
752,12,4,-1,0
753,1,-1,-1,NA
754,12,4,-1,0
755,2166,485,2108,0
756,30,1,18,0
757,-1,2,-1,NA
758,2721,-1,-1,0
759,-1,1,1,0
760,6,4,13,0
761,86,36,9,0
762,-1,5,-1,0
763,1,-1,-1,0
764,38,10,47,0
765,10,2,-1,0
766,57,27,5,0
767,-1,-1,13,NA
768,32,9,-1,0
769,-1,-1,1,0
770,36,112,44,NA
771,3,-1,1448,0
772,72,31,57,0
773,95,12,1,0
774,12,1,-1,0
775,712,213,41,NA
776,1,36,13,0
777,-1,-1,2281,0
778,93,48,-1,0
779,121,33,260,NA
780,199,434,16,0
781,-1,2,2,0
782,1,8,1,0
783,36,-1,-1,NA
784,249,93,44,0
785,-1,99,-1,0
786,35,15,17,0
787,3,2,1,NA
788,155,20,76,0
789,13,16,21,0
790,7,1,-1,0
791,379,79,231,0
792,1117,159,391,0
793,389,75,151,NA
794,86,36,9,0
795,818,293,1551,0
796,-1,28,-1,0
797,66,-1,3,0
798,15,13,3,0
799,-1,3,6,0
800,-1,-1,185,0
801,137,5,1,0
802,15,65,-1,0
803,18,7,29,0
804,20,14,-1,0
805,-1,-1,1408,0
806,976,72,547,0
807,800,16,-1,0
808,213,101,231,0
809,74,134,17,0
810,47,5,34,0
811,13,-1,-1,0
812,2,-1,-1,0
813,8,3,-1,NA
814,29,2,-1,0
815,75,54,2,NA
816,20,1,-1,0
817,-1,-1,68,0
818,71,20,4,0
819,30,6,84,0
820,66,1,7,0
821,73,3,1185,0
822,38,14,7,0
823,-1,30,-1,0
824,-1,5,-1,0
825,-1,18,-1,0
826,79,7,-1,0
827,61,-1,15,0
828,418,203,179,0
829,-1,4,-1,0
830,-1,11,-1,0
831,-1,-1,1,0
832,16,4,42,0
833,-1,-1,2,0
834,78,96,-1,NA
835,74,46,37,0
836,-1,5,38,0
837,-1,-1,1,0
838,100,314,-1,0
839,500,105,192,0
840,89,9,48,0
841,8,10,-1,0
842,1,16,4,0
843,57,27,5,0
844,146,19,13,NA
845,98,-1,-1,0
846,122,45,84,0
847,-1,12,-1,NA
848,29,1,5,0
849,62,5,5,0
850,44,12,106,NA
851,4,-1,-1,NA
852,-1,-1,5,NA
853,16,-1,23,0
854,21302,-1,1,0
855,10,-1,-1,NA
856,128,22,108,0
857,2721,-1,-1,0
858,349,11,78,0
859,84,12,13,0
860,35,24,21,0
861,-1,-1,2,NA
862,-1,-1,2,0
863,289,17,-1,0
864,-1,-1,9309,0
865,1331,-1,-1,0
866,36,112,44,NA
867,43,16,76,0
868,3,-1,-1,0
869,87,11,-1,0
870,3,-1,1448,NA
871,1,-1,1,0
872,440,58,534,0
873,19,6,24,0
874,3,-1,-1,0
875,-1,1,-1,NA
876,15,65,-1,0
877,28,-1,40,0
878,2,-1,-1,0
879,645,154,168,0
880,-1,-1,4,NA
881,336,70,244,NA
882,-1,-1,139,0
883,4,12,-1,NA
884,87,4,119,0
885,-1,15,-1,0
886,-1,8,-1,0
887,5,2,2,0
888,66,44,14,0
889,-1,1,-1,NA
890,25,-1,-1,0
891,-1,3,-1,0
892,-1,-1,12,0
893,61,-1,15,0
894,126,23,405,0
895,-1,25,-1,0
896,47,6,56,0
897,43,16,76,0
898,1,-1,-1,0
899,6177,-1,-1,0
900,150,80,46,0
901,-1,7,-1,NA
902,-1,2,1,0
903,27,8,1,0
904,11,8,113,0
905,160,69,171,0
906,68,-1,-1,0
907,1,-1,1,0
908,87,1,19,0
909,-1,-1,15,0
910,4280,250,387,0
911,-1,1,-1,0
912,198,3,99,NA
913,24,89,-1,0
914,164,29,3,0
915,55,-1,-1,0
916,2688,398,703,0
917,5,-1,-1,0
918,2,3,-1,0
919,42,2,146,0
920,129,19,76,NA
921,10,2,-1,0
922,-1,-1,60,0
923,15,65,-1,0
924,-1,10,51,0
925,24,18,1,0
926,136,16,133,0
927,565,-1,-1,NA
928,1,-1,-1,0
929,847,196,568,NA
930,-1,66,-1,0
931,3,-1,-1,0
932,755,167,569,NA
933,1992,278,186,NA
934,-1,4,-1,0
935,160,8,11,0
936,-1,1,-1,0
937,272,11,1,0
938,-1,-1,1,0
939,16,-1,14,0
940,-1,2,1,1
941,-1,2,1,0
942,9,-1,-1,0
943,-1,4,-1,NA
944,8,15,6,0
945,-1,-1,24,0
946,242,35,28,0
947,480,155,244,0
948,-1,-1,2,0
949,2,1,-1,0
950,6,-1,4,0
951,105,30,-1,0
952,273,6,407,NA
953,645,154,168,0
954,272,11,498,NA
955,66,36,8,0
956,-1,1,1,0
957,20,1,3,0
958,362,84,654,0
959,14,5,6,NA
960,-1,1,-1,0
961,-1,-1,5,0
962,160,8,11,0
963,78,28,66,NA
964,-1,-1,4,NA
965,-1,1,-1,NA
966,1,-1,-1,NA
967,4,4,-1,0
968,4,-1,-1,0
969,-1,3,-1,0
970,800,16,-1,0
971,1,-1,-1,0
972,-1,188,-1,0
973,3,-1,-1,NA
974,-1,5,-1,0
975,-1,13,-1,0
976,6,1,-1,0
977,49,-1,4,0
978,-1,1,-1,NA
979,255,22,217,NA
980,-1,318,-1,1
981,24,33,16,1
982,11,1,-1,1
983,256,53,44,1
984,5368,1001,1584,1
985,2709,641,508,1
986,65,11,-1,1
987,2089,408,302,1
988,35,25,1,1
989,3,1,-1,1
990,-1,25,-1,1
991,129,19,76,1
992,2,-1,-1,NA
993,114,43,6,1
994,33,2,17,1
995,71,10,34,0
996,1,-1,1,NA
997,-1,1,-1,0
998,5,7,6,0
999,-1,-1,47,0
1000,25,5,-1,0
1001,213,101,231,0
1002,66,18,151,0
1003,46,2,3,NA
1004,17,28,1,0
1005,42,13,4,0
1006,10,-1,12,NA
1007,9,1,35,0
1008,279,28,2,0
1009,101,28,76,0
1010,14,1,-1,0
1011,4,-1,65,NA
1012,404,202,337,0
1013,51,48,34,0
1014,-1,12,-1,0
1015,11,1,2,0
1016,-1,-1,11,0
1017,3,-1,-1,0
1018,-1,14,-1,0
1019,-1,6,-1,NA
1020,99,38,36,0
1021,-1,18,-1,0
1022,-1,7,-1,0
1023,2530,490,1557,NA
1024,65,16,1,0
1025,3,2,1,0
1026,5,-1,3,0
1027,-1,-1,8,0
1028,264,33,254,0
1029,-1,-1,1,0
1030,159,22,39,NA
1031,22,4,1,0
1032,-1,-1,10,0
1033,-1,-1,14,0
1034,25,2,6,NA
1035,-1,-1,3,NA
1036,411,108,-1,0
1037,40,19,5,0
1038,21,-1,6,0
1039,-1,6,-1,0
1040,3,-1,-1,0
1041,66,36,8,0
1042,345,45,132,NA
1043,-1,4,-1,0
1044,522,160,20,0
1045,42,13,36,NA
1046,15,2,6,0
1047,-1,14,10,0
1048,-1,-1,10,0
1049,478,14,175,0
1050,3,-1,14,0
1051,154,105,23,0
1052,17,4,2,0
1053,5,-1,4,0
1054,132,152,79,0
1055,-1,3,6,NA
1056,454,208,196,0
1057,163,88,77,0
1058,72,34,-1,0
1059,-1,6,-1,NA
1060,120,22,13,0
1061,-1,1,-1,0
1062,2,6,7,0
1063,9,-1,9,NA
1064,871,272,156,0
1065,386,101,468,0
1066,4,-1,179,NA
1067,-1,-1,1018,0
1068,107,12,15,0
1069,1,17,-1,0
1070,2688,398,703,0
1071,5,5,-1,0
1072,942,59,294,0
1073,38,15,11,NA
1074,184,75,123,0
1075,312,167,52,0
1076,5,49,1,0
1077,35,4,46,0
1078,-1,2,2,NA
1079,376,-1,-1,0
1080,1,-1,-1,0
1081,115,77,517,0
1082,273,6,407,0
1083,469,18,14,NA
1084,2,-1,-1,0
1085,394,46,-1,0
1086,27,4,3,NA
1087,847,196,568,0
1088,263,24,222,0
1089,42,7,-1,0
1090,72,59,4,0
1091,94,20,1,0
1092,3,-1,138,0
1093,3,-1,-1,NA
1094,91,37,1,0
1095,72,31,57,0
1096,-1,1,-1,0
1097,79,24,-1,NA
1098,476,51,49,NA
1099,2661,516,237,0
1100,-1,4,-1,0
1101,51,26,-1,1
1102,1704,686,619,0
1103,178,77,32,NA
1104,23,-1,15,0
1105,92,3,107,0
1106,72,31,57,0
1107,10,-1,5,0
1108,442,93,110,0
1109,-1,-1,158,0
1110,480,155,244,0
1111,8,8,21,0
1112,-1,51,-1,0
1113,-1,4,-1,0
1114,1,-1,-1,0
1115,23,-1,15,0
1116,-1,-1,1,0
1117,-1,7,-1,NA
1118,35,15,17,NA
1119,-1,-1,1,0
1120,-1,-1,2027,0
1121,9,-1,9,0
1122,1077,45,121,0
1123,-1,13,-1,0
1124,3,27,10,0
1125,-1,29,3,0
1126,129,19,76,0
1127,2162,357,197,NA
1128,-1,2,4,1
1129,1,10,36,0
1130,-1,-1,2,0
1131,-1,4,-1,0
1132,99,38,36,0
1133,471,108,29,NA
1134,-1,-1,2063,0
1135,384,418,8,0
1136,8,3,-1,0
1137,9,33,5,0
1138,-1,3,-1,0
1139,-1,-1,2,0
1140,1992,278,186,0
1141,345,45,132,0
1142,440,58,534,0
1143,6,1,19,NA
1144,2162,357,197,0
1145,6,-1,-1,0
1146,6,-1,-1,0
1147,10,3,28,0
1148,31,62,17,0
1149,104,7,33,0
1150,14,-1,8,0
1151,1457,218,187,NA
1152,2,17,4,NA
1153,1,-1,-1,0
1154,1,-1,-1,0
1155,15,1,14,0
1156,-1,-1,1981,0
1157,194,35,-1,0
1158,9,5,6,0
1159,-1,10,-1,NA
1160,177,190,2,0
1161,92,-1,-1,0
1162,28,3,-1,NA
1163,-1,18,-1,0
1164,15,-1,-1,0
1165,-1,11,-1,0
1166,132,41,52,0
1167,56,5,44,0
1168,59,12,-1,0
1169,132,12,-1,0
1170,305,6,-1,0
1171,960,206,123,NA
1172,39,19,4,0
1173,5,2,-1,0
1174,2710,243,952,0
1175,-1,2,1,0
1176,1,-1,-1,0
1177,35,4,9,0
1178,50,97,-1,NA
1179,7,16,36,0
1180,113,28,-1,0
1181,-1,-1,485,0
1182,25,-1,-1,0
1183,21,10,-1,0
1184,-1,12,-1,NA
1185,-1,-1,10,0
1186,-1,10,-1,NA
1187,27,2,24,0
1188,6,-1,-1,0
1189,976,72,547,0
1190,645,154,168,0
1191,-1,8,2,0
1192,7,-1,-1,0
1193,152,32,6,0
1194,-1,8,-1,0
1195,-1,2,-1,0
1196,21,25,-1,0
1197,1117,159,391,0
1198,10,-1,-1,0
1199,2,12,2,NA
1200,-1,8,-1,NA
1201,8049,650,239,0
1202,17,6,1,NA
1203,343,26,1,0
1204,1,-1,-1,0
1205,303,12,11,0
1206,5,13,291,0
1207,-1,9,-1,0
1208,1,-1,-1,0
1209,-1,-1,2063,0
1210,-1,2,-1,0
1211,-1,12,-1,0
1212,411,108,-1,NA
1213,-1,13,1,0
1214,17,4,2,0
1215,38,14,7,0
1216,3,-1,-1,0
1217,-1,-1,193,NA
1218,45,38,-1,0
