,SOP_Total_Num_Items,Reseller
274,1,0
275,6780,0
276,2435,0
277,180,0
278,463,0
279,165,0
280,3040,0
281,14614,0
282,225,NA
283,48777,0
284,2140,0
285,348,NA
286,2615,NA
287,1479,0
288,41950,0
289,13888,0
290,1,0
291,252,0
292,2990,NA
293,123,0
294,522,0
295,991,NA
296,25898,0
297,2871,NA
298,5251,NA
299,1816,0
300,9,0
301,2975,0
302,69,NA
303,3,0
304,23200,0
305,111,0
306,3,0
307,317,0
308,213,0
309,6,0
310,65,0
311,1136,NA
312,10953,0
313,63,0
314,14,NA
315,522,0
316,1693,0
317,44,0
318,5,0
319,6,0
320,2509,0
321,2696,0
322,10295,0
323,449,0
324,508,0
325,92,NA
326,7,0
327,13673,0
328,668,NA
329,1426,0
330,1599,0
331,13,0
332,99373,0
333,3690,0
334,281,0
335,32,0
336,22,0
337,18350,0
338,24,0
339,1106,0
340,676,0
341,1362,0
342,1,0
343,21,NA
344,13,NA
345,9404,0
346,395,0
347,3944,0
348,70,0
349,63,NA
350,1141,0
351,9,0
352,225,0
353,325,0
354,49,0
355,24071,NA
356,87,0
357,6729,0
358,551,0
359,617,0
360,60,0
361,2924,0
362,37446,NA
363,2907,0
364,3126,0
365,38646,0
366,181,0
367,173,0
368,246,0
369,683,NA
370,166,0
371,4,NA
372,237,NA
373,7,NA
374,164,0
375,57,0
376,3,0
377,11222,0
378,89,0
379,17437,0
380,534,NA
381,31335,1
382,2,0
383,62,0
384,29,0
385,401,0
386,317,NA
387,111,0
388,0,0
389,168,NA
390,54,NA
391,148,0
392,9,0
393,5584,0
394,4,0
395,2,NA
396,202,NA
397,12,0
398,623,NA
399,462,0
400,44420,0
401,9465,0
402,53478,0
403,16,NA
404,17399,0
405,22,0
406,208,0
407,362,0
408,11,NA
409,3,0
410,6707,0
411,25,0
412,25,0
413,926,NA
414,1753,NA
415,27,0
416,15,0
417,54,0
418,2944,0
419,399,NA
420,266,0
421,4719,NA
422,6,0
423,2696,NA
424,43,0
425,867,0
426,31335,0
427,31,0
428,449,0
429,1962,0
430,955,0
431,1,0
432,934,0
433,151,0
434,2907,0
435,26,0
436,222,0
437,2,0
438,53,0
439,1,NA
440,84,0
441,1064,0
442,19,0
443,90,0
444,31,NA
445,27676,1
446,299,0
447,2,0
448,1341,0
449,270,0
450,1,0
451,17,NA
452,4532,0
453,1,0
454,6421,0
455,84,0
456,732,0
457,254,0
458,128,0
459,6,0
460,12,0
461,8,0
462,4353,0
463,3,NA
464,61,0
465,2435,NA
466,8,0
467,487,0
468,2312,NA
469,81,0
470,3,0
471,7,0
472,11,0
473,72,0
474,24,0
475,347,0
476,8,0
477,3,0
478,32,0
479,259,NA
480,2944,0
481,5994,0
482,3,NA
483,105,0
484,2,0
485,1,0
486,320,NA
487,38,NA
488,3,0
489,0,0
490,6421,0
491,76,0
492,59,0
493,33977,0
494,147,NA
495,154,0
496,12,NA
497,0,NA
498,4204,0
499,317,0
500,1753,0
501,204,0
502,265,NA
503,417,NA
504,8,0
505,11,1
506,1,0
507,15,0
508,12,0
509,71314,0
510,80,NA
511,5,0
512,884,0
513,1095,0
514,7,0
515,36,0
516,1,0
517,3,0
518,42,0
519,31,NA
520,6,0
521,2,NA
522,163,NA
523,2,0
524,31,0
525,11,0
526,54,0
527,310,0
528,6,1
529,3724,1
530,30,1
531,18,1
532,66103,NA
533,10,1
534,29596,1
535,1357,1
536,3589,1
537,4,1
538,236,NA
539,449,1
540,11030,1
541,172279,1
542,4806,1
543,863,1
544,5322,1
545,24064,1
546,57,1
547,1,1
548,70,1
549,25803,0
550,5,0
551,67237,0
552,54,0
553,1229,0
554,1085,NA
555,5814,0
556,12,0
557,87,0
558,3,0
559,21,0
560,56490,NA
561,1,0
562,1067,0
563,0,NA
564,21,0
565,2,0
566,92,0
567,41,0
568,1,0
569,8,0
570,8,0
571,65,0
572,221,NA
573,27,0
574,5,0
575,1110,0
576,2917,0
577,10,0
578,102,0
579,52870,0
580,1404,0
581,26,0
582,571,0
583,13683,0
584,31,0
585,3,0
586,13,0
587,712,0
588,1686,0
589,2001,0
590,6473,0
591,1262,0
592,12,0
593,52723,0
594,3147,0
595,22,0
596,12,0
597,759,0
598,10,NA
599,33,0
600,16095,0
601,276,NA
602,1,0
603,2,0
604,121,NA
605,1,0
606,26,0
607,38646,NA
608,1,0
609,6,0
610,60,0
611,1,0
612,1,0
613,51,0
614,3,NA
615,50,0
616,181,0
617,248,0
618,154,0
619,3,0
620,1121,0
621,136,0
622,10,0
623,164,0
624,25,0
625,2,NA
626,1,NA
627,15,0
628,290,NA
629,26,0
630,21,NA
631,2871,0
632,40,0
633,3126,NA
634,511,0
635,56,0
636,4,NA
637,8,NA
638,77,NA
639,2,NA
640,8255,1
641,17,NA
642,213,1
643,302156,1
644,21590,NA
645,6,1
646,1,1
647,21,NA
648,44061,1
649,6,1
650,7,1
651,4240,1
652,1,1
653,11148,1
654,485,1
655,4127,1
656,284,1
657,123,1
658,1,NA
659,1,0
660,2,NA
661,12549,0
662,14,0
663,588,0
664,3,0
665,10,0
666,4,0
667,648,0
668,9841,0
669,20,0
670,73,0
671,80,0
672,70,0
673,41,0
674,35729,0
675,22832,NA
676,334,0
677,102,0
678,11,0
679,1,0
680,24,0
681,17743,0
682,30,0
683,83,0
684,148,NA
685,586,0
686,10,NA
687,76,0
688,89,NA
689,2,0
690,3,0
691,14,0
692,55,0
693,15,0
694,4041,0
695,30,NA
696,441,0
697,2,0
698,12458,0
699,6,NA
700,619,0
701,3617,0
702,1,NA
703,196,NA
704,18,0
705,80,0
706,14333,0
707,75,0
708,307,0
709,35919,0
710,1025,0
711,535,0
712,270,0
713,33,NA
714,768,0
715,192,0
716,317,0
717,162,0
718,1150,NA
719,5490,0
720,35,0
721,42,0
722,20566,0
723,8,0
724,1329,0
725,7,0
726,3,0
727,123,0
728,746,0
729,934,0
730,560,0
731,22,0
732,15,0
733,1,0
734,36,0
735,10425,0
736,168,0
737,99,0
738,411,0
739,6551,NA
740,872,0
741,1303,0
742,7,0
743,2,NA
744,4944,0
745,87,NA
746,4,0
747,180,NA
748,7,0
749,208,0
750,679,NA
751,10,0
752,18,0
753,1,NA
754,18,0
755,24071,0
756,222,0
757,2,NA
758,14613,0
759,2,0
760,18,0
761,2093,0
762,5,0
763,1,0
764,196,0
765,20,0
766,276,0
767,44,NA
768,171,0
769,1,0
770,430,NA
771,8620,0
772,621,0
773,227,0
774,82,0
775,5724,NA
776,35,0
777,9315,0
778,290,0
779,478,NA
780,2738,0
781,4,0
782,8,0
783,98,NA
784,11089,0
785,112,0
786,145,0
787,0,NA
788,965,0
789,50,0
790,14,0
791,1142,0
792,31335,0
793,3189,NA
794,2093,0
795,28633,0
796,51,0
797,126,0
798,237,0
799,20,0
800,495,0
801,614,0
802,3810,0
803,366,0
804,315,0
805,3617,0
806,41850,0
807,6314,0
808,4343,0
809,742,0
810,595,0
811,23,0
812,5,0
813,18,NA
814,52,0
815,1433,NA
816,78,0
817,80,0
818,626,0
819,185,0
820,100,0
821,2484,0
822,154,0
823,34,0
824,5,0
825,17,0
826,468,0
827,191,0
828,3690,0
829,3,0
830,11,0
831,2,0
832,80,0
833,2,0
834,1126,NA
835,4547,0
836,68,0
837,1,0
838,2229,0
839,6656,0
840,963,0
841,60,0
842,49,0
843,276,0
844,396,NA
845,220,0
846,1056,0
847,23,NA
848,195,0
849,769,0
850,1141,NA
851,1,NA
852,5,NA
853,57,0
854,99373,0
855,12,NA
856,980,0
857,14613,0
858,8035,0
859,385,0
860,178,0
861,0,NA
862,3,0
863,10657,0
864,38646,0
865,10953,0
866,430,NA
867,346,0
868,3,0
869,239,0
870,8620,NA
871,9,0
872,4353,0
873,178,0
874,3,0
875,1,NA
876,3810,0
877,205,0
878,2,0
879,11857,0
880,5,NA
881,1343,NA
882,164,0
883,25,NA
884,905,0
885,29,0
886,12,0
887,30,0
888,390,0
889,3,NA
890,38,0
891,5,0
892,12,0
893,191,0
894,2505,0
895,30,0
896,283,0
897,346,0
898,1,0
899,25803,0
900,1962,0
901,6,NA
902,7,0
903,83,0
904,1115,0
905,487,0
906,147,0
907,9,0
908,403,0
909,15,0
910,17437,0
911,2,0
912,901,NA
913,485,0
914,1006,0
915,221,0
916,23577,0
917,5,0
918,5,0
919,303,0
920,402,NA
921,13,0
922,56,0
923,3810,0
924,136,0
925,259,0
926,1203,0
927,1910,NA
928,1,0
929,23607,NA
930,316,0
931,3,0
932,3482,NA
933,2853,NA
934,5,0
935,1471,0
936,1,0
937,569,0
938,1,0
939,50,0
940,21,1
941,0,0
942,8,0
943,28,NA
944,35,0
945,157,0
946,1077,0
947,2059,0
948,3,0
949,7,0
950,11,0
951,326,0
952,980,NA
953,11857,0
954,3421,NA
955,1229,0
956,2,0
957,61,0
958,4137,0
959,33,NA
960,1,0
961,5,0
962,1471,0
963,362,NA
964,6,NA
965,1,NA
966,2,NA
967,10,0
968,14,0
969,3,0
970,6314,0
971,1,0
972,913,0
973,3,NA
974,7,0
975,6,0
976,21,0
977,153,0
978,1,NA
979,534,NA
980,1998,1
981,3114,1
982,31,1
983,2917,1
984,138225,1
985,52723,1
986,477,1
987,52313,1
988,1079,1
989,208,1
990,30,1
991,402,1
992,12,NA
993,5764,1
994,430,1
995,337,0
996,4,NA
997,0,0
998,29,0
999,38,0
1000,63,0
1001,4343,0
1002,732,0
1003,313,NA
1004,440,0
1005,105,0
1006,26,NA
1007,152,0
1008,1079,0
1009,417,0
1010,54,0
1011,60,NA
1012,6482,0
1013,319,0
1014,19,0
1015,15,0
1016,12,0
1017,3,0
1018,24,0
1019,8,NA
1020,1136,0
1021,24,0
1022,22,0
1023,21590,NA
1024,233,0
1025,0,0
1026,9,0
1027,12,0
1028,3587,0
1029,1,0
1030,1747,NA
1031,42,0
1032,49,0
1033,33,0
1034,34,NA
1035,3,NA
1036,3511,0
1037,196,0
1038,100,0
1039,8,0
1040,3,0
1041,1229,0
1042,4423,NA
1043,3,0
1044,1948,0
1045,371,NA
1046,28,0
1047,81,0
1048,30,0
1049,1758,0
1050,9,0
1051,1244,0
1052,93,0
1053,13,0
1054,4633,0
1055,20,NA
1056,12674,0
1057,1127,0
1058,395,0
1059,19,NA
1060,950,0
1061,1,0
1062,55,0
1063,43,NA
1064,10508,0
1065,4105,0
1066,254,NA
1067,5409,0
1068,993,0
1069,30,0
1070,23577,0
1071,12,0
1072,3957,0
1073,110,NA
1074,1357,0
1075,2058,0
1076,95,0
1077,181,0
1078,4,NA
1079,2138,0
1080,1,0
1081,1879,0
1082,980,0
1083,2996,NA
1084,6,0
1085,1723,0
1086,56,NA
1087,23607,0
1088,1915,0
1089,166,0
1090,523,0
1091,249,0
1092,266,0
1093,5,NA
1094,2266,0
1095,621,0
1096,1,0
1097,720,NA
1098,2509,NA
1099,32268,0
1100,4,0
1101,299,1
1102,30407,0
1103,1539,NA
1104,121,0
1105,349,0
1106,621,0
1107,40,0
1108,3851,0
1109,508,0
1110,2059,0
1111,168,0
1112,151,0
1113,3,0
1114,1,0
1115,121,0
1116,50,0
1117,10,NA
1118,145,NA
1119,1,0
1120,9465,0
1121,43,0
1122,6780,0
1123,42,0
1124,148,0
1125,129,0
1126,402,0
1127,86501,NA
1128,9,1
1129,168,0
1130,3,0
1131,3,0
1132,1136,0
1133,6085,NA
1134,7243,0
1135,2035,0
1136,18,0
1137,90,0
1138,10,0
1139,2,0
1140,2853,0
1141,4423,0
1142,4353,0
1143,31,NA
1144,86501,0
1145,12,0
1146,12,0
1147,89,0
1148,391,0
1149,784,0
1150,26,0
1151,16095,NA
1152,14,NA
1153,1,0
1154,1,0
1155,67,0
1156,6285,0
1157,2034,0
1158,20,0
1159,91,NA
1160,3153,0
1161,181,0
1162,270,NA
1163,128,0
1164,49,0
1165,11,0
1166,955,0
1167,210,0
1168,712,0
1169,656,0
1170,2944,0
1171,8983,NA
1172,1888,0
1173,9,0
1174,33977,0
1175,0,0
1176,3,0
1177,155,0
1178,724,NA
1179,148,0
1180,10830,0
1181,1431,0
1182,111,0
1183,74,0
1184,9,NA
1185,19,0
1186,31,NA
1187,118,0
1188,18,0
1189,41850,0
1190,11857,0
1191,33,0
1192,43,0
1193,440,0
1194,13,0
1195,2,0
1196,5342,0
1197,31335,0
1198,12,0
1199,40,NA
1200,816,NA
1201,16532,0
1202,58,NA
1203,768,0
1204,4,0
1205,3194,0
1206,872,0
1207,5,0
1208,1,0
1209,7243,0
1210,3,0
1211,11,0
1212,3511,NA
1213,8,0
1214,58,0
1215,154,0
1216,6,0
1217,1063,NA
1218,225,0
1219,6,NA
1220,401,NA
1221,624,0
1222,0,NA
1223,8,0
1224,87,0
1225,265,0
1226,32,NA
1227,3,1
1228,0,0
1229,11,0
1230,74,0
1231,1077,0
1232,36,0
1233,1252,0
1234,796,0
1235,2,0
1236,19,NA
1237,13888,0
1238,9,NA
1239,3,NA
1240,4,0
1241,1479,0
1242,989,0
1243,279,NA
1244,1,0
1245,2319,0
1246,64,0
1247,1043,0
1248,1734,0
1249,7,0
1250,12,NA
1251,1,0
1252,6882,0
1253,12,0
1254,208,0
1255,571,0
1256,3,0
1257,2907,NA
1258,31,0
1259,2853,0
1260,225,0
1261,268,NA
1262,1,0
1263,11,0
1264,1723,0
1265,14,0
1266,60,0
1267,36,0
1268,109,0
1269,60,0
1270,17,0
1271,3,0
1272,2,0
1273,410,0
1274,1,0
1275,79,NA
1276,37446,0
1277,181,0
1278,42,0
1279,78,0
1280,768,0
1281,47,0
1282,10,0
1283,4,0
1284,617,0
1285,172279,NA
1286,3,1
1287,17,1
1288,4,1
1289,31,1
1290,213,1
1291,303,1
1292,12,1
1293,5,1
1294,80,NA
1295,463,1
1296,222,1
1297,1126,1
1298,95837,NA
1299,1720,1
1300,991,1
1301,25,1
1302,16151,1
1303,16095,1
1304,2,1
1305,1640,1
1306,417,1
1307,1063,0
1308,80,0
1309,2,0
1310,1,0
1311,35729,0
1312,466,NA
1313,4,0
1314,1,NA
1315,41,NA
1316,1,0
1317,422,0
1318,671,0
1319,2990,0
1320,2,0
1321,1119,0
1322,1,NA
1323,1662,0
1324,1471,0
1325,391,NA
1326,6966,0
1327,126,0
1328,15,0
1329,7,NA
1330,4137,0
1331,55,NA
1332,10,0
1333,1,NA
1334,25,NA
1335,5,NA
1336,511,0
1337,668,0
1338,16,0
1339,6707,0
1340,10,0
1341,9,NA
1342,31,0
1343,81,0
1344,47,0
1345,14,NA
1346,683,0
1347,401,0
1348,33,0
1349,3,0
1350,37,0
1351,1,0
1352,6590,0
1353,13,0
1354,69,0
1355,17,0
1356,4,NA
1357,323,0
1358,3,0
1359,14613,0
1360,48777,0
1361,94,0
1362,1341,0
1363,4240,NA
1364,1,0
1365,96,NA
1366,3,1
1367,51346,1
1368,3724,1
1369,337,1
1370,96,1
1371,60,1
1372,30,1
1373,148,1
1374,683,1
1375,656,NA
1376,24630,1
1377,5323,1
1378,1,1
1379,1,1
1380,1640,1
1381,63042,NA
1382,382,NA
1383,10508,1
1384,7,1
1385,84,1
1386,1,1
1387,1,NA
1388,29596,0
1389,1006,0
1390,7,0
1391,913,0
1392,535,0
1393,382,0
1394,633,0
1395,19,0
1396,10,0
1397,25,NA
1398,348,0
1399,373,0
1400,75254,NA
1401,501,NA
1402,4423,NA
1403,2273,0
1404,22,0
1405,6,0
1406,98,0
1407,357,NA
1408,27,0
1409,6966,0
1410,18,0
1411,3889,NA
1412,109,0
1413,67237,0
1414,12,0
1415,110,0
1416,196,0
1417,1791,0
1418,1758,0
1419,317,NA
1420,208,0
1421,3,NA
1422,13,0
1423,58,0
1424,317,0
1425,51346,NA
1426,768,0
1427,67,0
1428,0,0
1429,1193,0
1430,159,0
1431,2944,0
1432,963,NA
1433,1468,NA
1434,1776,NA
1435,4,0
1436,31,0
1437,55,0
1438,742,0
1439,315,0
1440,989,0
1441,11,0
1442,4204,0
1443,535,0
1444,1421,0
1445,12,0
1446,1329,0
1447,72,0
1448,0,0
1449,22832,0
1450,6780,0
1451,208,0
1452,2001,0
1453,10,0
1454,5360,0
1455,3,0
1456,72,0
1457,3522,NA
1458,33,0
1459,0,0
1460,249,NA
1461,450,0
1462,551,NA
1463,782,NA
1464,1816,NA
1465,235,0
1466,1329,0
1467,37,NA
1468,3,0
1469,6491,0
1470,3,0
1471,54,0
1472,386,0
1473,1095,NA
1474,11030,0
1475,25803,0
1476,25,NA
1477,8,0
1478,816,NA
1479,113,0
1480,51,0
1481,33,0
1482,105,0
1483,4875,0
1484,399,NA
1485,5251,0
1486,2442,NA
1487,44,0
1488,52870,0
1489,14614,0
1490,59,0
1491,253,NA
1492,746,0
1493,2,0
1494,5,NA
1495,40154,0
1496,7998,0
1497,54,0
1498,98,0
1499,5,0
1500,7339,0
1501,1791,0
1502,25,NA
1503,501,0
1504,291,0
1505,6473,0
1506,1,NA
1507,4,0
1508,26,0
1509,5,NA
1510,417,0
1511,1,NA
1512,14411,0
1513,2,0
1514,9,0
1515,5712,0
1516,1471,0
1517,3,0
1518,1034,0
1519,17743,NA
1520,68,0
1521,867,0
1522,53,0
1523,87,0
1524,4423,0
1525,2319,0
1526,18,0
1527,2,0
1528,449,NA
1529,135,NA
1530,5,0
1531,105,0
1532,177,NA
1533,4,0
1534,1941,NA
1535,6030,NA
1536,516,0
1537,29,0
1538,49,0
1539,18,0
1540,3,NA
1541,63,0
1542,1,0
1543,1,0
1544,67,0
1545,31,0
1546,6292,0
1547,2138,0
1548,6,0
1549,9218,0
1550,2,NA
1551,5,NA
1552,9237,NA
1553,1758,0
1554,863,NA
1555,2944,NA
1556,137,0
1557,11,0
1558,384,0
1559,53,NA
1560,25,0
1561,58,0
1562,373,0
1563,11,0
1564,116,0
1565,4,0
1566,980,NA
1567,307,NA
1568,370,0
1569,107,0
1570,3870,0
1571,112,NA
1572,223,0
1573,797,0
1574,4105,0
1575,148,0
1576,13,0
1577,14533,0
1578,29,0
1579,90,0
1580,0,0
1581,752,0
1582,2034,0
1583,276,0
1584,6,0
1585,60,NA
1586,44,0
1587,405,0
1588,1640,0
1589,475,NA
1590,7,NA
1591,14,NA
1592,4116,0
1593,32,0
1594,220,0
1595,54,0
1596,742,NA
1597,18350,0
1598,0,0
1599,965,0
1600,309,0
1601,202,0
1602,23,NA
1603,21,0
1604,20,0
1605,79,NA
1606,22,0
1607,931,0
1608,3029,NA
1609,90,NA
1610,6729,0
1611,32,NA
1612,117,0
1613,192,0
1614,5322,NA
1615,23,0
1616,89,NA
1617,54,0
1618,283,0
1619,3,0
1620,20,0
1621,101,NA
1622,5834,0
1623,11,NA
1624,1426,0
1625,19,0
1626,10508,0
1627,24,0
1628,334,NA
1629,17399,NA
1630,5,0
1631,136,0
1632,3,0
1633,37,0
1634,1655,NA
1635,135,0
1636,11707,0
1637,15,0
1638,18,NA
1639,315,0
1640,1855,0
1641,11,NA
1642,11554,0
1643,7,0
1644,281,0
1645,498,0
1646,5412,NA
1647,3889,0
1648,512,NA
1649,3,NA
1650,266,0
1651,1,0
1652,544,0
1653,159,1
1654,38,0
1655,2059,1
1656,63,0
1657,306,0
1658,1539,0
1659,5323,0
1660,1,0
1661,1,0
1662,6,0
1663,5,0
1664,1,0
1665,1,NA
1666,11,NA
1667,1,NA
1668,1126,0
1669,148,0
1670,166,NA
1671,12,0
1672,213,NA
1673,4,NA
1674,16,0
1675,18,0
1676,8570,NA
1677,51,1
1678,2,1
1679,8469,1
1680,3,1
1681,391248,1
1682,1,1
1683,93,1
1684,31,1
1685,12840,1
1686,534,NA
1687,29,NA
1688,113559,NA
1689,3944,1
1690,862,1
1691,9,1
1692,101,1
1693,0,1
1694,63,NA
1695,4,0
1696,197,NA
1697,403,0
1698,43,0
1699,346,0
1700,1809,0
1701,56,0
1702,4,0
1703,1,0
1704,614,0
1705,90,0
1706,92,0
1707,5,0
1708,3400,0
1709,2052,0
1710,117,0
1711,3,0
1712,294,NA
1713,6,NA
1714,24630,NA
1715,2,0
1716,63,0
1717,27,0
1718,70,NA
1719,1,0
1720,204,0
1721,1,0
1722,1114,NA
1723,38,NA
1724,3,0
1725,60,0
1726,19,0
1727,3,0
1728,837,NA
1729,3132,0
1730,3,0
1731,4,NA
1732,99,NA
1733,48892,0
1734,12,0
1735,31335,0
1736,1,0
1737,83,NA
1738,72,0
1739,112,NA
1740,1,0
1741,31442,0
1742,310,0
1743,43,0
1744,6,0
1745,1520,0
1746,25,0
1747,3194,0
1748,2,0
1749,349,NA
1750,27,0
1751,12,0
1752,441,0
1753,8,0
1754,276,0
1755,10,0
1756,78,0
1757,225,0
1758,766,0
1759,2,0
1760,4,0
1761,402,0
1762,980,0
1763,1,0
1764,870,0
1765,11,0
1766,202,0
1767,2871,NA
1768,78,0
1769,20,0
1770,225,0
1771,582,0
1772,1,0
1773,23317,NA
1774,2,0
1775,1807,0
1776,61,0
1777,5,0
1778,36,0
1779,788,0
1780,6,0
1781,16,0
1782,468,NA
1783,47,0
1784,237,0
1785,124,0
1786,327,NA
1787,6,0
1788,5,NA
1789,8,0
1790,382,NA
1791,3587,1
1792,684,1
1793,679,NA
1794,33,1
1795,166582,1
1796,86934,NA
1797,1,1
1798,259,1
1799,3009,1
1800,4,1
1801,3583,NA
1802,624,1
1803,66103,1
1804,110,NA
1805,6,1
1806,28,0
1807,7,0
1808,5,0
1809,6590,NA
1810,1061,0
1811,1136,0
1812,3,0
1813,185,0
1814,35,0
1815,204,0
1816,123,0
1817,25898,0
1818,112,0
1819,2615,0
1820,617,0
1821,1855,NA
1822,1991,0
1823,43,0
1824,99,0
1825,11089,0
1826,5239,NA
1827,259,0
1828,4,0
1829,42,NA
1830,17,0
1831,569,0
1832,2435,0
1833,31,NA
1834,48,0
1835,4,0
1836,4,0
1837,3009,0
1838,50,0
1839,44420,NA
1840,4836,0
1841,3148,0
1842,5067,NA
1843,2,0
1844,477,0
1845,1530,0
1846,6,0
1847,85,0
1848,166,0
1849,8620,0
1850,1362,0
1851,8,0
1852,4,0
1853,1599,0
1854,20,NA
1855,6331,0
1856,10953,0
1857,40,0
1858,16095,0
1859,8303,0
1860,1693,NA
1861,37446,0
1862,319,0
1863,74,0
1864,307,0
1865,141,0
1866,38,0
1867,192,0
1868,12,0
1869,57,0
1870,3148,0
1871,752,0
1872,182,0
1873,6,0
1874,136,0
1875,196,0
1876,2093,0
1877,5360,0
1878,3189,0
1879,40,NA
1880,22342,0
1881,2615,0
1882,4343,0
1883,522,0
1884,1,0
1885,512,NA
1886,10295,0
1887,159,0
1888,4,NA
1889,16,NA
1890,10953,0
1891,21,0
1892,3189,NA
1893,229,0
1894,1640,NA
1895,44420,0
1896,0,NA
1897,4204,0
1898,2,0
1899,1404,0
1900,192,0
1901,4339,0
1902,13,0
1903,561,0
1904,27,NA
1905,3009,NA
1906,16103,0
1907,5,0
1908,1848,0
1909,1,0
1910,12,0
1911,276,0
1912,102,0
1913,5814,0
1914,4,0
1915,1,NA
1916,1,NA
1917,884,0
1918,41,0
1919,31,NA
1920,32,0
1921,105,NA
1922,180,0
1923,76,0
1924,1855,0
1925,177,0
1926,34052,0
1927,294,NA
1928,5,0
1929,7998,NA
1930,165,0
1931,668,NA
1932,6,0
1933,385,0
1934,163,NA
1935,1,NA
1936,5,NA
1937,182,0
1938,1941,0
1939,291,0
1940,619,0
1941,31442,0
1942,7,0
1943,797,0
1944,15,NA
1945,243,0
1946,5724,0
1947,76,0
1948,1,0
1949,3582,0
1950,20,0
1951,38,0
1952,3,0
1953,11089,0
1954,1,0
1955,1492,0
1956,37,NA
1957,3582,NA
1958,12,0
1959,4,0
1960,107,0
1961,154,NA
1962,167,0
1963,2505,0
1964,208,0
1965,153,0
1966,220,0
1967,89,NA
1968,4,0
1969,5152,0
1970,623,0
1971,75254,0
1972,70,0
1973,32,NA
1974,2738,0
1975,55,0
1976,22,0
1977,26,0
1978,5813,0
1979,51,0
1980,255,NA
1981,934,0
1982,1,0
1983,21590,NA
1984,67,0
1985,30,NA
1986,8,NA
1987,715,0
1988,33,0
1989,8255,NA
1990,3,NA
1991,3,0
1992,1,0
1993,109,0
1994,58,0
1995,13,NA
1996,49,0
1997,417,0
1998,0,0
1999,1,0
2000,35,0
2001,80,0
