,SOP_NV_Variance,Reseller
328,5.5e+11,NA
329,1.8e+11,0
330,8.1e+10,0
331,1.5e+11,0
332,1.8e+11,0
333,1.4e+11,0
334,6e+10,0
335,1.1e+11,0
336,1.2e+11,0
337,1.5e+11,0
338,1e+11,0
339,1.4e+11,0
340,2.4e+11,0
341,1.8e+11,0
342,-1,0
343,5.1e+09,NA
344,1.2e+09,NA
345,1.5e+11,0
346,9.7e+10,0
347,4.3e+11,0
348,5.3e+10,0
349,3.4e+11,NA
350,2.3e+11,0
351,3e+10,0
352,6.9e+10,0
353,1.3e+11,0
354,1.2e+11,0
355,1.4e+11,NA
356,3e+11,0
357,8.9e+10,0
358,8.5e+10,0
359,7.2e+10,0
360,6.5e+11,0
361,8e+10,0
362,1.8e+11,NA
363,1.2e+11,0
364,3.4e+11,0
365,1.9e+11,0
366,3e+11,0
367,4e+11,0
368,8.8e+10,0
369,2e+11,NA
370,1.2e+11,0
371,-1,NA
372,8.4e+11,NA
373,1.3e+09,NA
374,2.1e+11,0
375,1.2e+11,0
376,5.3e+11,0
377,1.2e+11,0
378,1.1e+11,0
379,1.1e+11,0
380,9.5e+10,NA
381,2.3e+11,1
382,9.6e+09,0
383,7.5e+10,0
384,4e+11,0
385,6.4e+11,0
386,1.5e+11,NA
387,5.2e+10,0
388,1.3e+12,0
389,8.4e+10,NA
390,1.1e+12,NA
391,7e+10,0
392,1.6e+12,0
393,1e+11,0
394,5.9e+10,0
395,1.8e+12,NA
396,1.3e+11,NA
397,1.5e+10,0
398,1.6e+11,NA
399,3.8e+11,0
400,1.9e+11,0
401,9.7e+10,0
402,9.8e+10,0
403,1.6e+10,NA
404,1.1e+11,0
405,4.6e+11,0
406,6.2e+11,0
407,1.7e+11,0
408,1.8e+12,NA
409,1.6e+12,0
410,1.4e+11,0
411,9.9e+11,0
412,2.3e+10,0
413,4.9e+11,NA
414,1.2e+11,NA
415,8e+10,0
416,5.6e+09,0
417,1.1e+12,0
418,1e+11,0
419,2.2e+11,NA
420,8.4e+10,0
421,1.1e+11,NA
422,9.5e+11,0
423,1.1e+11,NA
424,1e+10,0
425,2.6e+11,0
426,2.3e+11,0
427,2.3e+10,0
428,4.2e+10,0
429,7.9e+10,0
430,1e+11,0
431,-1,0
432,7.2e+11,0
433,5e+10,0
434,1.2e+11,0
435,2.2e+11,0
436,3.4e+11,0
437,2.9e+11,0
438,1.2e+12,0
439,-1,NA
440,1.3e+10,0
441,9.5e+10,0
442,2.7e+11,0
443,9.6e+10,0
444,5.9e+11,NA
445,8.4e+10,1
446,1.2e+11,0
447,3.2e+11,0
448,8e+10,0
449,5.6e+10,0
450,-1,0
451,1.3e+11,NA
452,6.8e+10,0
453,1.6e+12,0
454,9.6e+10,0
455,1.1e+11,0
456,6.8e+10,0
457,2.7e+11,0
458,6.6e+11,0
459,5.5e+10,0
460,2.6e+09,0
461,4e+10,0
462,1.1e+11,0
463,-1,NA
464,6.8e+11,0
465,1.2e+11,NA
466,1e+12,0
467,1.5e+11,0
468,1.6e+11,NA
469,1.2e+11,0
470,2.2e+12,0
471,1.5e+09,0
472,1.8e+12,0
473,5.4e+11,0
474,1.2e+11,0
475,4.5e+10,0
476,7.2e+09,0
477,-1,0
478,8.6e+11,0
479,7.4e+10,NA
480,1e+11,0
481,1.9e+11,0
482,5.3e+11,NA
483,7.1e+09,0
484,3e+11,0
485,-1,0
486,2.3e+11,NA
487,1.2e+11,NA
488,9.2e+09,0
489,-1,0
490,9.6e+10,0
491,1.8e+11,0
492,7.5e+10,0
493,9.5e+10,0
494,1.1e+12,NA
495,5.3e+10,0
496,2.5e+11,NA
497,1.7e+12,NA
498,1.3e+11,0
499,1.2e+11,0
500,1.2e+11,0
501,4e+10,0
502,3.5e+10,NA
503,1.2e+11,NA
504,1.5e+11,0
505,5.6e+11,1
506,-1,0
507,5.6e+10,0
508,2.5e+11,0
509,1.3e+11,0
510,1.1e+11,NA
511,1.8e+11,0
512,2.8e+11,0
513,1.7e+11,0
514,1.2e+11,0
515,9.1e+11,0
516,-1,0
517,-1,0
518,1e+11,0
519,1.1e+11,NA
520,4.9e+09,0
521,-1,NA
522,7.6e+10,NA
523,7.7e+09,0
524,9.8e+11,0
525,1.2e+12,0
526,1.3e+11,0
527,1.2e+11,0
528,9.5e+11,1
529,9.1e+10,1
530,4.1e+11,1
531,1.3e+11,1
532,2e+11,NA
533,1.3e+11,1
534,1.6e+11,1
535,1.1e+11,1
536,1.4e+11,1
537,6.9e+09,1
538,8.4e+11,NA
539,4.2e+10,1
540,4.2e+11,1
541,9e+10,1
542,6.3e+10,1
543,1.9e+11,1
544,1.8e+11,1
545,8.6e+10,1
546,6.8e+10,1
547,-1,1
548,7.8e+10,1
549,1.3e+11,0
550,1.4e+10,0
551,8.3e+10,0
552,1.1e+11,0
553,1e+11,0
554,4.9e+11,NA
555,1.4e+11,0
556,1.5e+10,0
557,3.3e+11,0
558,1.7e+08,0
559,5.1e+09,0
560,1.3e+11,NA
561,-1,0
562,3.1e+10,0
563,3.2e+09,NA
564,7.3e+11,0
565,1.8e+12,0
566,6.7e+10,0
567,2.4e+11,0
568,-1,0
569,1e+09,0
570,9.6e+11,0
571,8.4e+10,0
572,4.3e+11,NA
573,9.3e+11,0
574,-1,0
575,8.1e+10,0
576,1.3e+11,0
577,4.1e+09,0
578,2.8e+11,0
579,1.2e+11,0
580,9.4e+10,0
581,2.2e+10,0
582,2.1e+11,0
583,1e+11,0
584,1.4e+10,0
585,-1,0
586,1.2e+09,0
587,8.5e+10,0
588,4e+11,0
589,1.3e+11,0
590,7.6e+11,0
591,1.3e+11,0
592,9.4e+09,0
593,1e+11,0
594,1.8e+11,0
595,2e+09,0
596,5.5e+10,0
597,1.1e+11,0
598,8.1e+10,NA
599,8.3e+10,0
600,1.2e+11,0
601,2.9e+11,NA
602,-1,0
603,4.6e+09,0
604,9.6e+10,NA
605,-1,0
606,2.2e+10,0
607,1.9e+11,NA
608,-1,0
609,1e+12,0
610,1.2e+12,0
611,-1,0
612,-1,0
613,2.4e+11,0
614,1.7e+08,NA
615,1.3e+11,0
616,6.3e+11,0
617,9e+10,0
618,1.4e+11,0
619,1.6e+12,0
620,1.4e+11,0
621,1.6e+11,0
622,1.3e+10,0
623,2.1e+11,0
624,1.5e+11,0
625,1.1e+10,NA
626,-1,NA
627,5.6e+10,0
628,9.7e+10,NA
629,2.2e+10,0
630,8.2e+09,NA
631,1.5e+11,0
632,8.4e+09,0
633,3.4e+11,NA
634,7.9e+11,0
635,4.6e+11,0
636,1.3e+12,NA
637,1.8e+11,NA
638,4e+11,NA
639,-1,NA
640,3.9e+11,1
641,2.1e+11,NA
642,6e+10,1
643,1.9e+11,1
644,2e+11,NA
645,9.5e+11,1
646,-1,1
647,1.1e+10,NA
648,1.3e+11,1
649,2.3e+11,1
650,1.9e+10,1
651,1e+11,1
652,-1,1
653,9.7e+10,1
654,7.1e+10,1
655,2.6e+11,1
656,2.4e+11,1
657,1e+11,1
658,-1,NA
659,-1,0
660,1e+10,NA
661,1.7e+11,0
662,1.5e+12,0
663,9e+10,0
664,5e+11,0
665,1.3e+11,0
666,8.5e+09,0
667,8.6e+10,0
668,1.1e+11,0
669,1.2e+12,0
670,3.6e+11,0
671,1.1e+12,0
672,5.3e+10,0
673,2.2e+10,0
674,2e+11,0
675,1.3e+11,NA
676,8.3e+10,0
677,5.8e+11,0
678,1.2e+12,0
679,-1,0
680,1e+11,0
681,9.1e+10,0
682,9.8e+11,0
683,-1,0
684,8.4e+10,NA
685,2e+11,0
686,1.3e+11,NA
687,3e+11,0
688,8.9e+10,NA
689,-1,0
690,2.1e+09,0
691,1.5e+11,0
692,1.5e+11,0
693,7.8e+10,0
694,1.2e+11,0
695,6.9e+09,NA
696,7.8e+10,0
697,-1,0
698,1.3e+11,0
699,3.7e+10,NA
700,9.8e+10,0
701,3.2e+11,0
702,-1,NA
703,8.3e+10,NA
704,1.5e+10,0
705,9.1e+09,0
706,1.5e+11,0
707,6.6e+10,0
708,1.2e+11,0
709,1e+11,0
710,4e+11,0
711,1.6e+11,0
712,5.6e+10,0
713,1.2e+11,NA
714,1.2e+11,0
715,1e+11,0
716,1.5e+11,0
717,8.1e+10,0
718,9.6e+10,NA
719,1.9e+11,0
720,7.2e+11,0
721,7.5e+10,0
722,1.6e+11,0
723,8.7e+11,0
724,1.7e+11,0
725,1.1e+11,0
726,2.8e+08,0
727,4.6e+11,0
728,2.3e+11,0
729,1.2e+11,0
730,1.6e+10,0
731,3.8e+11,0
732,7.8e+10,0
733,-1,0
734,9.6e+10,0
735,1.9e+11,0
736,8.4e+10,0
737,3.2e+11,0
738,1.1e+11,0
739,1.6e+11,NA
740,8.6e+10,0
741,1.2e+11,0
742,1.2e+12,0
743,-1,NA
744,2e+11,0
745,3.3e+11,NA
746,1.7e+12,0
747,1.1e+12,NA
748,1.3e+10,0
749,1.1e+11,0
750,2.1e+11,NA
751,1.1e+12,0
752,1.3e+11,0
753,-1,NA
754,1.3e+11,0
755,1.4e+11,0
756,3.4e+11,0
757,99905,NA
758,1.2e+11,0
759,8.5e+08,0
760,9.8e+11,0
761,2.4e+11,0
762,4.5e+10,0
763,-1,0
764,5.5e+10,0
765,1.1e+11,0
766,5.1e+11,0
767,4.6e+10,NA
768,8.7e+10,0
769,-1,0
770,2.2e+11,NA
771,3e+11,0
772,1.4e+11,0
773,9.1e+10,0
774,1.6e+10,0
775,9.5e+10,NA
776,1.3e+12,0
777,1.3e+11,0
778,2.4e+11,0
779,1.1e+12,NA
780,1.1e+11,0
781,1.4e+12,0
782,1.5e+12,0
783,5.2e+10,NA
784,9.7e+10,0
785,9.5e+10,0
786,1.4e+11,0
787,2e+11,NA
788,5.8e+11,0
789,3.9e+11,0
790,9.6e+09,0
791,2.8e+11,0
792,2.3e+11,0
793,1.4e+11,NA
794,2.4e+11,0
795,1.8e+11,0
796,2.4e+11,0
797,1.3e+11,0
798,4.5e+11,0
799,1.2e+12,0
800,2.6e+11,0
801,1.1e+11,0
802,3e+11,0
803,3.5e+11,0
804,1.1e+12,0
805,3.2e+11,0
806,1.8e+11,0
807,1.5e+11,0
808,4.8e+11,0
809,9.4e+10,0
810,3.6e+11,0
811,3.4e+11,0
812,5.5e+08,0
813,9.1e+11,NA
814,9.8e+11,0
815,8.7e+10,NA
816,1.1e+12,0
817,7.8e+10,0
818,7.5e+10,0
819,2.9e+11,0
820,7.8e+11,0
821,9.6e+10,0
822,3.5e+10,0
823,1.3e+11,0
824,1.8e+11,0
825,1.1e+12,0
826,8.4e+10,0
827,1.1e+11,0
828,1.4e+11,0
829,1.2e+12,0
830,1.2e+12,0
831,-1,0
832,1.1e+11,0
833,4.6e+09,0
834,1.6e+11,NA
835,1e+11,0
836,6.1e+11,0
837,-1,0
838,1.8e+11,0
839,7.8e+10,0
840,5.2e+11,0
841,1.1e+11,0
842,5.3e+10,0
843,5.1e+11,0
844,5e+10,NA
845,4e+11,0
846,2.3e+11,0
847,4.9e+10,NA
848,6.7e+10,0
849,5e+10,0
850,2.3e+11,NA
851,1.7e+12,NA
852,1.4e+10,NA
853,8e+11,0
854,1.8e+11,0
855,2.5e+11,NA
856,2.1e+11,0
857,1.2e+11,0
858,3e+11,0
859,5.8e+11,0
860,7e+11,0
861,4.2e+09,NA
862,3.9e+09,0
863,8.5e+10,0
864,1.9e+11,0
865,1e+11,0
866,2.2e+11,NA
867,1.6e+11,0
868,1.7e+08,0
869,3e+11,0
870,3e+11,NA
871,6.6e+09,0
872,1.1e+11,0
873,6.1e+11,0
874,2.3e+09,0
875,-1,NA
876,3e+11,0
877,7.3e+10,0
878,4.7e+11,0
879,1.3e+11,0
880,1.9e+11,NA
881,1.8e+11,NA
882,2.1e+11,0
883,5.9e+09,NA
884,1.2e+11,0
885,5.4e+10,0
886,2.6e+09,0
887,3.8e+11,0
888,8.7e+10,0
889,-1,NA
890,1.7e+11,0
891,3.9e+11,0
892,1.9e+09,0
893,1.1e+11,0
894,8.2e+10,0
895,9.8e+11,0
896,1.2e+11,0
897,1.6e+11,0
898,-1,0
899,1.3e+11,0
900,7.9e+10,0
901,1.5e+12,NA
902,1.3e+09,0
903,1.3e+11,0
904,6.5e+10,0
905,1.5e+11,0
906,9.6e+10,0
907,6.6e+09,0
908,1.1e+11,0
909,5.6e+10,0
910,1.1e+11,0
911,-1,0
912,1.2e+11,NA
913,5.2e+11,0
914,9.6e+10,0
915,5.7e+11,0
916,1.1e+11,0
917,1.1e+10,0
918,3.2e+09,0
919,1.4e+11,0
920,1.7e+11,NA
921,5.2e+11,0
922,9.4e+11,0
923,3e+11,0
924,3.2e+11,0
925,1e+11,0
926,9.9e+10,0
927,2.1e+11,NA
928,-1,0
929,1.3e+11,NA
930,9e+11,0
931,2.9e+11,0
932,1.1e+11,NA
933,2e+11,NA
934,2.1e+11,0
935,9e+10,0
936,-1,0
937,2.2e+11,0
938,-1,0
939,1.6e+11,0
940,5.1e+09,1
941,2e+12,0
942,1e+12,0
943,3.7e+10,NA
944,2.2e+11,0
945,5.4e+10,0
946,6.2e+10,0
947,2.6e+11,0
948,1.7e+09,0
949,1.9e+10,0
950,1.3e+12,0
951,1.7e+11,0
952,2.5e+11,NA
953,1.3e+11,0
954,1e+11,NA
955,1e+11,0
956,2.4e+09,0
957,4.7e+10,0
958,2.2e+11,0
959,6.8e+11,NA
960,-1,0
961,1.4e+10,0
962,9e+10,0
963,1.7e+11,NA
964,4.1e+11,NA
965,-1,NA
966,-1,NA
967,1.2e+11,0
968,1.3e+12,0
969,3.5e+10,0
970,1.5e+11,0
971,-1,0
972,6.7e+10,0
973,2.9e+11,NA
974,2.2e+09,0
975,1e+12,0
976,0,0
977,3.8e+11,0
978,-1,NA
979,7.7e+11,NA
980,1e+11,1
981,1.1e+11,1
982,7.5e+11,1
983,1.3e+11,1
984,2e+11,1
985,1e+11,1
986,8.3e+10,1
987,7.8e+10,1
988,3.2e+11,1
989,1.9e+11,1
990,9.8e+11,1
991,1.7e+11,1
992,2.9e+08,NA
993,1e+11,1
994,3.3e+11,1
995,2e+11,0
996,3e+10,NA
997,-1,0
998,4e+11,0
999,1.2e+12,0
1000,1.3e+11,0
1001,4.8e+11,0
1002,6.8e+10,0
1003,3.2e+11,NA
1004,7.6e+10,0
1005,3.6e+11,0
1006,2.1e+10,NA
1007,7.7e+11,0
1008,8.3e+10,0
1009,1.6e+11,0
1010,1e+11,0
1011,1.2e+12,NA
1012,1.7e+11,0
1013,6e+10,0
1014,1.1e+11,0
1015,7.4e+10,0
1016,3.2e+09,0
1017,2.2e+11,0
1018,5.4e+10,0
1019,2.3e+11,NA
1020,4.7e+11,0
1021,8.3e+11,0
1022,9.6e+08,0
1023,2e+11,NA
1024,5.9e+10,0
1025,2e+11,0
1026,1.2e+12,0
1027,5.5e+10,0
1028,9.4e+10,0
1029,-1,0
1030,9.8e+11,NA
1031,7.5e+10,0
1032,1.7e+11,0
1033,1.1e+12,0
1034,1.2e+12,NA
1035,3.8e+09,NA
1036,8.8e+10,0
1037,5.4e+10,0
1038,7.2e+11,0
1039,4e+10,0
1040,3e+11,0
1041,1e+11,0
1042,1.2e+11,NA
1043,1.2e+12,0
1044,3.9e+11,0
1045,3.5e+11,NA
1046,1.1e+12,0
1047,1.2e+11,0
1048,6.4e+10,0
1049,1.4e+11,0
1050,1.4e+12,0
1051,4.4e+11,0
1052,5.8e+10,0
1053,1.3e+12,0
1054,1.3e+11,0
1055,1.2e+12,NA
1056,1.3e+11,0
1057,7.8e+10,0
1058,9.7e+10,0
1059,1e+10,NA
1060,2.7e+11,0
1061,-1,0
1062,1.7e+11,0
1063,9.7e+10,NA
1064,1.1e+11,0
1065,1.2e+11,0
1066,2.7e+11,NA
1067,1.5e+11,0
1068,9e+10,0
1069,5e+10,0
1070,1.1e+11,0
1071,2.1e+10,0
1072,9.6e+10,0
1073,9.3e+10,NA
1074,1.1e+11,0
1075,7.9e+10,0
1076,4.7e+11,0
1077,6.3e+11,0
1078,1.4e+12,NA
1079,1.2e+11,0
1080,-1,0
1081,1.2e+11,0
1082,2.5e+11,0
1083,1.3e+11,NA
1084,3.2e+09,0
1085,1.8e+11,0
1086,4.6e+11,NA
1087,1.3e+11,0
1088,1.3e+11,0
1089,5.3e+11,0
1090,2.1e+11,0
1091,5.3e+11,0
1092,8.4e+10,0
1093,2.9e+10,NA
1094,9.8e+10,0
1095,1.4e+11,0
1096,-1,0
1097,3.3e+11,NA
1098,3.6e+11,NA
1099,9.7e+10,0
1100,5.9e+10,0
1101,1.2e+11,1
1102,2.5e+11,0
1103,1.8e+11,NA
1104,9.6e+10,0
1105,1.4e+11,0
1106,1.4e+11,0
1107,8.4e+10,0
1108,1.1e+11,0
1109,4.1e+11,0
1110,2.6e+11,0
1111,8.4e+10,0
1112,5e+10,0
1113,1.2e+12,0
1114,-1,0
1115,9.6e+10,0
1116,-1,0
1117,1.4e+09,NA
1118,1.4e+11,NA
1119,-1,0
1120,9.7e+10,0
1121,9.7e+10,0
1122,1.8e+11,0
1123,1.5e+10,0
1124,1.9e+11,0
1125,2.2e+11,0
1126,1.7e+11,0
1127,9.6e+10,NA
1128,1.6e+12,1
1129,7.5e+10,0
1130,1.7e+09,0
1131,1.1e+12,0
1132,4.7e+11,0
1133,2.8e+11,NA
1134,1.3e+11,0
1135,2.2e+11,0
1136,9.1e+11,0
1137,8.7e+10,0
1138,1.8e+08,0
1139,4.6e+09,0
1140,2e+11,0
1141,1.2e+11,0
1142,1.1e+11,0
1143,1.3e+11,NA
1144,9.6e+10,0
1145,1.7e+11,0
1146,1.7e+11,0
1147,8.9e+10,0
1148,2.4e+11,0
1149,6.7e+10,0
1150,1.3e+11,0
1151,1.2e+11,NA
1152,1.5e+12,NA
1153,-1,0
1154,-1,0
1155,8.1e+10,0
1156,1.2e+11,0
1157,8.9e+10,0
1158,1.5e+11,0
1159,1.5e+09,NA
1160,1.8e+11,0
1161,9.4e+10,0
1162,5.6e+10,NA
1163,6.6e+11,0
1164,1.2e+11,0
1165,1.2e+12,0
1166,2.8e+11,0
1167,5.4e+10,0
1168,8.5e+10,0
1169,2.7e+11,0
1170,1.1e+11,0
1171,1.1e+11,NA
1172,3e+10,0
1173,1.5e+11,0
1174,9.5e+10,0
1175,1.7e+12,0
1176,-1,0
1177,6.3e+10,0
1178,1.7e+11,NA
1179,9.4e+10,0
1180,2.5e+10,0
1181,1.1e+11,0
1182,4.7e+10,0
1183,5.3e+11,0
1184,1.3e+12,NA
1185,1.4e+11,0
1186,5.1e+09,NA
1187,7e+10,0
1188,1.7e+10,0
1189,1.8e+11,0
1190,1.3e+11,0
1191,2e+09,0
1192,1e+10,0
1193,1e+11,0
1194,8.9e+09,0
1195,2.4e+10,0
1196,5.5e+11,0
1197,2.3e+11,0
1198,2.5e+11,0
1199,1.3e+11,NA
1200,4.3e+09,NA
1201,1.4e+11,0
1202,8.6e+10,NA
1203,1.2e+11,0
1204,-1,0
1205,2.9e+11,0
1206,8.6e+10,0
1207,1.3e+12,0
1208,-1,0
1209,1.3e+11,0
1210,2.8e+08,0
1211,1.2e+12,0
1212,8.8e+10,NA
1213,1.4e+12,0
1214,2.2e+10,0
1215,3.5e+10,0
1216,1.5e+12,0
1217,6.1e+10,NA
1218,3.3e+11,0
1219,2.3e+11,NA
1220,9.5e+11,NA
1221,7.8e+11,0
1222,-1,NA
1223,6.4e+09,0
1224,3.3e+11,0
1225,3.5e+10,0
1226,1.2e+11,NA
1227,1e+12,1
1228,2e+11,0
1229,1.3e+12,0
1230,1.7e+11,0
1231,6.2e+10,0
1232,5.9e+10,0
1233,1.9e+11,0
1234,2.4e+11,0
1235,-1,0
1236,1.7e+11,NA
1237,1.1e+11,0
1238,2.5e+09,NA
1239,5.4e+10,NA
1240,0,0
1241,5.4e+11,0
1242,8.6e+10,0
1243,2.3e+11,NA
1244,-1,0
1245,1.6e+11,0
1246,3e+10,0
1247,1.3e+11,0
1248,1e+11,0
1249,2.3e+11,0
1250,5.5e+10,NA
1251,2.6e+10,0
1252,1.8e+11,0
1253,2.5e+11,0
1254,1.1e+11,0
1255,4.7e+10,0
1256,2.7e+11,0
1257,1.2e+11,NA
1258,1.1e+11,0
1259,2e+11,0
1260,1.1e+11,0
1261,1.5e+11,NA
1262,1.7e+12,0
1263,1.2e+12,0
1264,1.8e+11,0
1265,1.4e+11,0
1266,-1,0
1267,5.1e+10,0
1268,1.9e+10,0
1269,5.7e+10,0
1270,1.3e+11,0
1271,4.8e+10,0
1272,3.7e+09,0
1273,1e+11,0
1274,-1,0
1275,5e+10,NA
1276,1.8e+11,0
1277,1.1e+11,0
1278,2.7e+10,0
1279,1.7e+11,0
1280,1.2e+11,0
