,SOP_NI_Variance,Reseller
587,223,0
588,180,0
589,84,0
590,5912,0
591,89,0
592,6,0
593,1625,0
594,7.8,0
595,0,0
596,0.57,0
597,53,0
598,0,NA
599,3,0
600,290,0
601,56,NA
602,-1,0
603,0,0
604,15,NA
605,-1,0
606,22,0
607,38,NA
608,-1,0
609,0.27,0
610,0.41,0
611,-1,0
612,-1,0
613,4.2,0
614,0,NA
615,6.7,0
616,4.7,0
617,38,0
618,162,0
619,0.29,0
620,21,0
621,5.3,0
622,0.21,0
623,0.21,0
624,0.66,0
625,0,NA
626,-1,NA
627,0,0
628,3.6,NA
629,22,0
630,1.6,NA
631,34,0
632,10,0
633,73,NA
634,73,0
635,1.4,0
636,0.29,NA
637,0.27,NA
638,0.97,NA
639,-1,NA
640,62490,1
641,0.87,NA
642,3.5,1
643,3324,1
644,1072,NA
645,0,1
646,-1,1
647,12,NA
648,13276,1
649,1,1
650,1.3,1
651,615,1
652,-1,1
653,698,1
654,71,1
655,2038,1
656,69,1
657,94,1
658,-1,NA
659,-1,0
660,0,NA
661,40,0
662,0.25,0
663,13,0
664,0.5,0
665,1.3,0
666,0,0
667,18,0
668,35,0
669,0.36,0
670,2.6,0
671,22,0
672,5.7,0
673,3.5,0
674,508,0
675,946,NA
676,65,0
677,5.8,0
678,0,0
679,-1,0
680,7.8,0
681,169,0
682,0.83,0
683,-1,0
684,15,NA
685,13,0
686,1.3,NA
687,1.6,0
688,11,NA
689,-1,0
690,0,0
691,0.15,0
692,0.37,0
693,0.2,0
694,105,0
695,2.4,NA
696,35,0
697,-1,0
698,2673,0
699,0,NA
700,18,0
701,115,0
702,-1,NA
703,7.1,NA
704,4.8,0
705,9.8,0
706,140,0
707,8.1,0
708,1249,0
709,2301,0
710,1373,0
711,3,0
712,178,0
713,0.55,NA
714,3.1,0
715,18,0
716,286,0
717,8.6,0
718,34,NA
719,262,0
720,0.24,0
721,0.49,0
722,100,0
723,0.42,0
724,171,0
725,0.17,0
726,0,0
727,16,0
728,14,0
729,28,0
730,8459,0
731,4.8,0
732,0.2,0
733,-1,0
734,8.3,0
735,17,0
736,262,0
737,11,0
738,870,0
739,5.2,NA
740,516,0
741,11,0
742,0,0
743,-1,NA
744,134,0
745,0.064,NA
746,0.2,0
747,9.7,NA
748,0,0
749,0.77,0
750,10,NA
751,0.67,0
752,0.12,0
753,-1,NA
754,0.12,0
755,185,0
756,25,0
757,0,NA
758,187,0
759,0,0
760,0.18,0
761,8082,0
762,0,0
763,-1,0
764,2.5,0
765,0.79,0
766,94,0
767,3.4,NA
768,18,0
769,-1,0
770,5.5,NA
771,238,0
772,272,0
773,24,0
774,34,0
775,376,NA
776,0.21,0
777,42,0
778,4.3,0
779,0.53,NA
780,82,0
781,0,0
782,0.84,0
783,18,NA
784,25482,0
785,0.2,0
786,7.4,0
787,0,NA
788,23,0
789,0.24,0
790,0.79,0
791,2.5,0
792,25823,0
793,828,NA
794,8082,0
795,6835,0
796,4.2,0
797,1.6,0
798,1275,0
799,6.9,0
800,124,0
801,43,0
802,6270,0
803,171,0
804,154,0
805,115,0
806,1302,0
807,160,0
808,180,0
809,13,0
810,14,0
811,1.2,0
812,0.5,0
813,0.65,NA
814,2.4,0
815,1137,NA
816,39,0
817,0.24,0
818,323,0
819,1.8,0
820,1,0
821,3.2,0
822,22,0
823,0.67,0
824,0,0
825,0.056,0
826,71,0
827,7.8,0
828,142,0
829,0.25,0
830,0,0
831,-1,0
832,0.73,0
833,0,0
834,212,NA
835,7008,0
836,1.8,0
837,-1,0
838,544,0
839,425,0
840,240,0
841,0.94,0
842,5.2,0
843,94,0
844,11,NA
845,4.8,0
846,24,0
847,0.63,NA
848,39,0
849,230,0
850,41,NA
851,0.25,NA
852,0,NA
853,1,0
854,1645,0
855,0.18,NA
856,50,0
857,187,0
858,3607,0
859,99,0
860,9.2,0
861,0,NA
862,0.5,0
863,2177,0
864,38,0
865,420,0
866,5.5,NA
867,9.9,0
868,0,0
869,36,0
870,238,NA
871,24,0
872,91,0
873,10,0
874,0,0
875,-1,NA
876,6270,0
877,6.6,0
878,0,0
879,50693,0
880,0.25,NA
881,3.9,NA
882,0.21,0
883,1.1,NA
884,63,0
885,5.4,0
886,0.57,0
887,31,0
888,24,0
889,-1,NA
890,1.3,0
891,0.33,0
892,0,0
893,7.8,0
894,128,0
895,0.83,0
896,7.6,0
897,9.9,0
898,-1,0
899,115,0
900,32,0
901,0.14,NA
902,0.33,0
903,4.7,0
904,652,0
905,0.73,0
906,5.2,0
907,24,0
908,11,0
909,0,0
910,7.9,0
911,-1,0
912,15,NA
913,22,0
914,124,0
915,22,0
916,1663,0
917,0,0
918,0,0
919,3.5,0
920,4.6,NA
921,0.083,0
922,0.2,0
923,6270,0
924,19,0
925,512,0
926,37,0
927,24,NA
928,-1,0
929,2120,NA
930,58,0
931,0,0
932,14,NA
933,2,NA
934,0.25,0
935,640,0
936,-1,0
937,3.2,0
938,-1,0
939,0.85,0
940,43,1
941,0,0
942,0.11,0
943,33,NA
944,0.17,0
945,25,0
946,29,0
947,11,0
948,0.5,0
949,1.3,0
950,0.1,0
951,4,0
952,1.2,NA
953,50693,0
954,50,NA
955,2243,0
956,0,0
957,2,0
958,7.8,0
959,0.48,NA
960,-1,0
961,0,0
962,640,0
963,4.6,NA
964,0.33,NA
965,-1,NA
966,-1,NA
967,0.21,0
968,3.7,0
969,0,0
970,160,0
971,-1,0
972,45,0
973,0,NA
974,0.3,0
975,0.44,0
976,13,0
977,2.8,0
978,-1,NA
979,0.65,NA
980,271,1
981,54607,1
982,4.3,1
983,429,1
984,26528,1
985,1625,1
986,33,1
987,36828,1
988,4199,1
989,9735,1
990,0.83,1
991,4.6,1
992,0,NA
993,20301,1
994,115,1
995,344,0
996,2,NA
997,-1,0
998,2.6,0
999,0.16,0
1000,4.9,0
1001,180,0
1002,15,0
1003,141,NA
1004,365,0
1005,3.8,0
1006,0.16,NA
1007,217,0
1008,24,0
1009,16,0
1010,12,0
1011,0.41,NA
1012,2139,0
1013,16,0
1014,0.45,0
1015,0.071,0
1016,0.091,0
1017,0,0
1018,1.1,0
1019,0.27,NA
1020,1592,0
1021,0.24,0
1022,1.1,0
1023,1072,NA
1024,25,0
1025,0,0
1026,2.1,0
1027,0.57,0
1028,63,0
1029,-1,0
1030,1399,NA
1031,0.49,0
1032,63,0
1033,9.6,0
1034,0.28,NA
1035,0,NA
1036,144,0
1037,15,0
1038,10,0
1039,0.67,0
1040,0,0
1041,2243,0
1042,1353,NA
1043,0.25,0
1044,15,0
1045,211,NA
1046,0.27,0
1047,10,0
1048,6.4,0
1049,32,0
1050,0.26,0
1051,79,0
1052,25,0
1053,1,0
1054,7514,0
1055,6.9,NA
1056,918,0
1057,16,0
1058,15,0
1059,5,NA
1060,215,0
1061,-1,0
1062,25,0
1063,5.2,NA
1064,131,0
1065,210,0
1066,3.6,NA
1067,386,0
1068,406,0
1069,0.94,0
1070,1663,0
1071,0.18,0
1072,12,0
1073,3.2,NA
1074,27,0
1075,23,0
1076,7.5,0
1077,4.7,0
1078,0,NA
1079,165,0
1080,-1,0
1081,10,0
1082,1.2,0
1083,112,NA
1084,2,0
1085,9.4,0
1086,1.4,NA
1087,2120,0
1088,36,0
1089,21,0
1090,33,0
1091,5,0
1092,7.8,0
1093,0.33,NA
1094,2030,0
1095,272,0
1096,-1,0
1097,62,NA
1098,44,NA
1099,1470,0
1100,0,0
1101,34,1
1102,1259,0
1103,969,NA
1104,15,0
1105,2.2,0
1106,272,0
1107,5.1,0
1108,31,0
1109,10,0
1110,11,0
1111,262,0
1112,11,0
1113,0.25,0
1114,-1,0
1115,15,0
1116,-1,0
1117,0.62,NA
1118,7.4,NA
1119,-1,0
1120,64,0
1121,5.2,0
1122,80,0
1123,5,0
1124,85,0
1125,11,0
1126,4.6,0
1127,7250,NA
1128,1.5,1
1129,12,0
1130,0.5,0
1131,0.25,0
1132,1592,0
1133,2615,NA
1134,63,0
1135,127,0
1136,0.65,0
1137,6.5,0
1138,0.33,0
1139,0,0
1140,2,0
1141,1353,0
1142,91,0
1143,0.16,NA
1144,7250,0
1145,1.2,0
1146,1.2,0
1147,11,0
1148,8.6,0
1149,44,0
1150,0.25,0
1151,290,NA
1152,0.25,NA
1153,-1,0
1154,-1,0
1155,7,0
1156,48,0
1157,198,0
1158,1.5,0
1159,12,NA
1160,896,0
1161,1.8,0
1162,178,NA
1163,71,0
1164,15,0
1165,0,0
1166,122,0
1167,3.2,0
1168,223,0
1169,29,0
1170,527,0
1171,7248,NA
1172,20231,0
1173,1.6,0
1174,51,0
1175,0,0
1176,-1,0
1177,14,0
1178,612,NA
1179,13,0
1180,45701,0
1181,10,0
1182,6,0
1183,29,0
1184,0.2,NA
1185,1.7,0
1186,4.1,NA
1187,5.3,0
1188,3.6,0
1189,1302,0
1190,50693,0
1191,35,0
1192,46,0
1193,5.5,0
1194,1.1,0
1195,0,0
1196,275406,0
1197,25823,0
1198,0.18,0
1199,1.9,NA
1200,36689,NA
1201,31,0
1202,6.4,NA
1203,3.1,0
1204,-1,0
1205,299,0
1206,516,0
1207,0.28,0
1208,-1,0
1209,63,0
1210,0.5,0
1211,0.083,0
1212,144,NA
1213,0.26,0
1214,8.5,0
1215,22,0
1216,3,0
1217,49,NA
1218,30,0
1219,1,NA
1220,16,NA
1221,1343,0
1222,-1,NA
1223,0.3,0
1224,0.064,0
1225,131,0
1226,0.53,NA
1227,0.25,1
1228,0,0
1229,0.1,0
1230,0.55,0
1231,29,0
1232,0.26,0
1233,105,0
1234,91,0
1235,-1,0
1236,0.27,NA
1237,82,0
1238,1.6,NA
1239,0.62,NA
1240,0,0
1241,92,0
1242,65,0
1243,33,NA
1244,-1,0
1245,6579,0
1246,7.6,0
1247,97,0
1248,41,0
1249,12,0
1250,0.57,NA
1251,0.5,0
1252,170,0
1253,0.18,0
1254,0.77,0
1255,4.7,0
1256,0,0
1257,10,NA
1258,2.2,0
1259,2,0
1260,3.5,0
1261,12,NA
1262,0.25,0
1263,0.37,0
1264,9.4,0
1265,0,0
1266,-1,0
1267,0.57,0
1268,16,0
1269,46,0
1270,2.6,0
1271,0.5,0
1272,0,0
1273,97,0
1274,-1,0
1275,7.6,NA
1276,74,0
1277,123,0
1278,98,0
1279,5.2,0
1280,3.1,0
1281,0.5,0
1282,0.29,0
1283,0,0
1284,93,0
1285,6946,NA
1286,0.5,1
1287,3.3,1
1288,0.33,1
1289,2.2,1
1290,16,1
1291,8.6,1
1292,0.62,1
1293,0.33,1
1294,0.24,NA
1295,3.7,1
1296,25,1
1297,212,1
1298,11511,NA
1299,8.8,1
1300,3772,1
1301,0.56,1
1302,5497,1
1303,290,1
1304,-1,1
1305,6872,1
1306,16,1
1307,49,0
1308,9.8,0
1309,0,0
1310,-1,0
1311,508,0
1312,81,NA
1313,0.33,0
1314,0.5,NA
1315,0.1,NA
1316,-1,0
1317,46,0
1318,3.5,0
1319,182,0
1320,-1,0
1321,52,0
1322,-1,NA
1323,15,0
1324,640,0
1325,8.6,NA
1326,30,0
1327,2.2,0
1328,1.3,0
1329,0.25,NA
1330,7.8,0
1331,25,NA
1332,0,0
1333,-1,NA
1334,0.45,NA
1335,0.33,NA
1336,73,0
1337,384,0
1338,0.22,0
1339,220,0
1340,0.67,0
1341,0,NA
1342,2.3,0
1343,15,0
1344,0.5,0
1345,0,NA
1346,8.3,0
1347,16,0
1348,2.7,0
1349,0.25,0
1350,1.2,0
1351,-1,0
1352,204,0
1353,0,0
1354,1.1,0
1355,0.12,0
1356,0,NA
1357,0.81,0
1358,0,0
1359,187,0
1360,136,0
1361,29,0
1362,39,0
1363,615,NA
1364,-1,0
1365,0.65,NA
1366,0,1
1367,11171,1
1368,159,1
1369,344,1
1370,1.1,1
1371,0.41,1
1372,0.032,1
1373,46,1
1374,3879,1
1375,29,NA
1376,197,1
1377,13600,1
1378,-1,1
1379,-1,1
1380,6872,1
1381,10990,NA
1382,315,NA
1383,131,1
1384,0.19,1
1385,206,1
1386,-1,1
1387,-1,NA
1388,3634,0
1389,268,0
1390,0.3,0
1391,45,0
1392,476,0
1393,27,0
1394,461,0
1395,1.7,0
1396,0.33,0
1397,0.22,NA
1398,5.1,0
1399,230,0
1400,2875,NA
1401,34,NA
1402,1353,NA
1403,78,0
1404,0,0
1405,0,0
1406,82,0
1407,1.5,NA
1408,0.74,0
1409,30,0
1410,5.9,0
1411,1367,NA
1412,15,0
1413,139,0
1414,0.077,0
1415,3.2,0
1416,7.1,0
1417,22,0
1418,32,0
1419,286,NA
1420,9735,0
1421,0.3,NA
1422,2.1,0
1423,0.94,0
1424,1.2,0
1425,11171,NA
1426,3.1,0
1427,3.9,0
1428,0,0
1429,69,0
1430,107,0
1431,937,0
1432,240,NA
1433,925,NA
1434,28,NA
1435,0,0
1436,0.48,0
1437,25,0
1438,13,0
1439,5.4,0
1440,65,0
1441,0.2,0
1442,29,0
1443,3,0
1444,6.4,0
1445,1.2,0
1446,1717,0
1447,2,0
1448,0,0
1449,946,0
1450,80,0
1451,9735,0
1452,84,0
1453,0.21,0
1454,10,0
1455,0,0
1456,0.26,0
1457,362,NA
1458,0.48,0
1459,0,0
1460,5,NA
1461,60,0
1462,6.7,NA
1463,41,NA
1464,87,NA
1465,91,0
1466,171,0
1467,0.14,NA
1468,0.25,0
1469,28,0
1470,-1,0
1471,12,0
1472,18,0
1473,56,NA
1474,6459,0
1475,115,0
1476,0.22,NA
1477,0.14,0
1478,36689,NA
1479,0.72,0
1480,25,0
1481,0.18,0
1482,30,0
1483,20,0
1484,20,NA
1485,7.7,0
1486,24,NA
1487,5.5,0
1488,35413,0
1489,389,0
1490,1.5,0
1491,1097,NA
1492,14,0
1493,0,0
1494,0.5,NA
1495,280,0
1496,686,0
1497,12,0
1498,82,0
1499,0,0
1500,29284,0
1501,22,0
1502,0.66,NA
1503,34,0
1504,2.7,0
1505,5912,0
1506,-1,NA
1507,0,0
1508,0.54,0
1509,0,NA
1510,44,0
1511,-1,NA
1512,8245,0
1513,-1,0
1514,0.3,0
1515,4809,0
1516,640,0
1517,0,0
1518,315,0
1519,169,NA
1520,4.3,0
1521,139,0
1522,3.5,0
1523,3.4,0
1524,1353,0
1525,6579,0
1526,2.8,0
1527,0,0
1528,11,NA
1529,3.8,NA
1530,0,0
1531,3.8,0
1532,17,NA
1533,0,0
1534,964,NA
1535,16,NA
1536,489,0
1537,2.5,0
1538,4.6,0
1539,2.6,0
1540,0,NA
1541,16,0
1542,-1,0
1543,0.33,0
1544,0.7,0
1545,0.27,0
1546,105,0
1547,165,0
1548,0,0
1549,1938,0
1550,-1,NA
1551,0,NA
1552,160,NA
1553,32,0
1554,30,NA
1555,937,NA
1556,1694,0
1557,0,0
1558,67,0
1559,0.26,NA
1560,6.3,0
1561,3.8,0
1562,230,0
1563,2.7,0
1564,2.2,0
1565,0,0
1566,1.2,NA
1567,1249,NA
1568,477,0
1569,0.46,0
1570,323,0
1571,7,NA
1572,263,0
1573,6165,0
1574,210,0
1575,85,0
1576,0.16,0
1577,1695,0
1578,5.4,0
1579,4.5,0
1580,-1,0
1581,24,0
1582,21,0
1583,56,0
1584,0,0
1585,-1,NA
1586,6.1,0
1587,284,0
1588,6872,0
1589,16,NA
1590,0.12,NA
1591,0.22,NA
1592,24,0
1593,3,0
1594,1.1,0
1595,2.1,0
1596,13,NA
1597,434,0
1598,0,0
1599,23,0
1600,20,0
1601,5.7,0
1602,1.9,NA
1603,2.5,0
1604,16,0
1605,7.6,NA
1606,0.24,0
1607,11,0
1608,1524,NA
1609,0.86,NA
1610,471,0
1611,0.16,NA
1612,1.3,0
1613,11,0
1614,3.8,NA
1615,1.1,0
1616,1.5,NA
1617,12,0
1618,7.6,0
1619,0.5,0
1620,0.61,0
1621,0.53,NA
1622,107,0
1623,40,NA
1624,137,0
1625,0.35,0
1626,131,0
1627,1.1,0
1628,65,NA
1629,1912,NA
1630,0,0
1631,59,0
1632,0,0
1633,4.9,0
1634,850,NA
1635,283,0
1636,111,0
1637,0.071,0
1638,0.12,NA
1639,154,0
1640,155,0
1641,2.7,NA
1642,2967,0
1643,0,0
1644,20,0
1645,265,0
1646,188,NA
1647,1367,0
1648,9.5,NA
1649,0.3,NA
1650,7.8,0
1651,-1,0
1652,214,0
1653,107,1
1654,5.6,0
1655,11,1
1656,0.87,0
1657,4.2,0
1658,969,0
1659,13600,0
1660,-1,0
1661,-1,0
1662,0,0
1663,0,0
1664,-1,0
1665,-1,NA
1666,0,NA
1667,-1,NA
1668,212,0
1669,46,0
1670,18,NA
1671,1,0
1672,3.5,NA
1673,0,NA
1674,0.36,0
1675,0.24,0
1676,43799,NA
1677,4.2,1
1678,0,1
1679,125,1
1680,0,1
1681,22160,1
1682,-1,1
1683,25,1
1684,2.2,1
1685,2615,1
1686,6.6,NA
1687,6.4,NA
1688,89519,NA
1689,47,1
1690,42,1
1691,0.29,1
1692,0.53,1
1693,0,1
1694,4.9,NA
1695,-1,0
1696,46,NA
1697,11,0
1698,10,0
1699,9.9,0
1700,21,0
1701,1.4,0
1702,0,0
1703,-1,0
1704,43,0
1705,4.5,0
1706,1.1,0
1707,0.5,0
1708,2.4,0
1709,89,0
1710,17,0
1711,0.3,0
1712,212,NA
1713,1,NA
1714,197,NA
1715,-1,0
1716,4.9,0
1717,7.1,0
1718,7,NA
1719,-1,0
1720,293,0
1721,-1,0
1722,49,NA
1723,5.6,NA
1724,-1,0
1725,1.4,0
1726,0.5,0
1727,0,0
1728,76,NA
1729,14,0
1730,0.5,0
1731,0,NA
1732,2.6,NA
1733,244,0
1734,0.077,0
1735,25823,0
1736,-1,0
1737,0.67,NA
1738,2.3,0
1739,0.2,NA
1740,-1,0
1741,803,0
1742,114,0
1743,2.9,0
1744,0,0
1745,56,0
1746,0.12,0
1747,299,0
1748,-1,0
1749,2.2,NA
1750,0.24,0
1751,0.18,0
1752,35,0
1753,0.27,0
1754,48,0
1755,0.21,0
1756,5.2,0
1757,19,0
1758,1123,0
1759,0,0
1760,0,0
1761,4.6,0
1762,1.2,0
1763,-1,0
1764,34,0
1765,0.44,0
1766,5.7,0
1767,34,NA
1768,5.2,0
1769,4.9,0
1770,30,0
1771,3.6,0
1772,-1,0
1773,59,NA
1774,0,0
1775,667,0
1776,2,0
1777,1.6,0
1778,0.057,0
1779,158,0
1780,0.14,0
1781,0.22,0
1782,71,NA
1783,16,0
1784,1275,0
1785,0.42,0
1786,22,NA
1787,0,0
1788,0,NA
1789,0.26,0
1790,27,NA
1791,63,1
1792,1548,1
1793,21,NA
1794,3,1
1795,5371,1
1796,56626,NA
1797,-1,1
1798,31,1
1799,271,1
1800,-1,1
1801,132,NA
1802,1343,1
1803,10067,1
1804,3.2,NA
1805,3,1
1806,33,0
1807,0,0
1808,0.25,0
1809,204,NA
1810,41,0
1811,1592,0
1812,0,0
1813,1.8,0
1814,0.43,0
1815,24,0
1816,16,0
1817,173,0
1818,0.2,0
1819,22835,0
1820,93,0
1821,24,NA
1822,111,0
1823,10,0
1824,4.9,0
1825,25482,0
1826,207,NA
1827,40,0
1828,2,0
1829,5,NA
1830,0.12,0
1831,3.2,0
1832,2777,0
1833,1.2,NA
1834,22,0
1835,0,0
1836,0,0
1837,271,0
1838,-1,0
1839,212,NA
1840,2407,0
1841,96,0
1842,282,NA
1843,0,0
1844,33,0
1845,121,0
1846,0.2,0
1847,47,0
1848,18,0
1849,238,0
1850,5.9,0
1851,0,0
1852,0,0
1853,33,0
1854,0.36,NA
1855,702,0
1856,420,0
