,Sales_Order,STP_Ratio,STP_diff_Ratio,Reseller
231,1,0.151515151515152,0,0
232,8,1.375,0,NA
233,6,1,0,0
234,30,3.03571428571429,0,0
235,53,1,0,0
236,28,0.024390243902439,0,NA
237,1,0.105263157894737,0,0
238,21,0,0,0
239,1,0.7,0,0
240,14,1,0,NA
241,3,0,0,NA
242,4,0.1,0,0
243,14,1,0,0
244,7,1,0,0
245,5,1,0,0
246,37,1,0,NA
247,10,0.0377358490566038,0,0
248,21,0.833333333333333,0,NA
249,6,0.2,0,0
250,4,1,0,0
251,8,0.236574746008708,0,0
252,5,1,0,0
253,11,1,0,0
254,13,1,0,0
255,3,0.012987012987013,0,0
256,21,0,0,0
257,3,1,0,NA
258,139,1,0,0
259,5,0,0,0
260,1,0.5,0,0
261,5,0,0,NA
262,218,1,0,0
263,18,0.0483870967741935,0,0
264,12,0.995753715498938,0,NA
265,471,1,0,0
266,5,0.782608695652174,0,NA
267,11,1,0,0
268,65,1,0,0
269,70,0,0,0
270,18,1,0,0
271,60,1,0,0
272,250,0.272727272727273,0,0
273,21,0,0,0
274,1,1,0,0
275,82,0.0625,0,0
276,79,0,0,0
277,13,1,0,0
278,11,0,0,0
279,21,1,0,0
280,163,0,0,0
281,103,0,0,0
282,34,0.1,0,NA
283,1110,0,0,0
284,64,0,0,0
285,16,0.0344827586206897,0,NA
286,25,0.888888888888889,0,NA
287,22,0.0743801652892562,0,0
288,471,1,0,0
289,282,0.154320987654321,0,0
290,1,1,0,0
291,8,1,0,0
292,43,0,0,NA
293,17,1,0,0
294,37,0.333333333333333,0,0
295,3,1.20689655172414,0,NA
296,232,0.258823529411765,0,0
297,135,1,0,NA
298,194,1,0,NA
299,81,1,0,0
300,6,0.04,0,0
301,65,0.0909090909090909,0,0
302,2,1,0,NA
303,6,0.179640718562874,0.0333333333333333,0
304,214,0.568965517241379,0.151515151515152,0
305,13,0.251798561151079,0,0
306,2,0.88,0.0227272727272727,0
307,26,0,0,0
308,53,0.0681818181818182,0,0
309,2,0.0540540540540541,0,0
310,6,0,0,0
311,42,0.0714285714285714,0,NA
312,72,1,0,0
313,12,0.916666666666667,0,0
314,3,1,0,NA
315,37,0.333333333333333,0,0
316,24,1,0,0
317,5,0.037037037037037,0,0
318,6,0.115384615384615,0,0
319,2,0,0,0
320,164,0.0826446280991736,0,0
321,85,0.916666666666667,0,0
322,267,0,0,0
323,39,1,0,0
324,42,0.222222222222222,0,0
325,8,1,0,NA
326,5,0.143236074270557,0,0
327,126,1,0,0
328,24,0.078125,0,NA
329,77,0.756756756756757,0,0
330,185,0.909090909090909,0,0
331,5,0,0,0
332,2022,1,0,0
333,57,0.8,0,0
334,6,0.4,0,0
335,4,0,0,0
336,2,1,0,0
337,631,1,0,0
338,3,0.647058823529412,0,0
339,67,1,0,0
340,194,1,0,0
341,31,1,0,0
342,1,0,0,0
343,3,1,0,NA
344,2,0.1,0,NA
345,250,0.272727272727273,0,0
346,33,1,0,0
347,135,1,0,0
348,7,0.111111111111111,0,0
349,8,0.428571428571429,0,NA
350,33,0.466666666666667,0,0
351,2,0,0,0
352,12,0.277777777777778,0,0
353,28,1,0,0
354,4,0,0,0
355,593,0,0,NA
356,20,0,0,0
357,115,0.00199203187250996,0,0
358,41,0.0967741935483871,0,0
359,19,0.0816326530612245,0,0
360,7,0.2,0,0
361,54,0.024390243902439,0,0
362,351,2,0.5,NA
363,200,1,0,0
364,89,0,0,0
365,359,0.285714285714286,0,0
366,85,1,0,0
367,13,0,0,0
368,13,0.142857142857143,0,0
369,40,0,0,NA
370,6,0.272727272727273,0,0
371,1,0,0,NA
372,37,0.356521739130435,0,NA
373,3,1,0,NA
374,39,1,0,0
375,4,1,0,0
376,1,1,0,0
377,65,0,0,0
378,6,1,0,0
379,446,0.166666666666667,0,0
380,13,0.578947368421053,0,NA
381,228,1,0,1
382,1,1,0,0
383,15,1,0,0
384,1,1,0,0
385,17,1,0,0
386,26,0,0,NA
387,13,0.251798561151079,0,0
388,6,1,0,0
389,26,0.0465116279069767,0,NA
390,13,0.04,0,NA
391,5,1,0,0
392,2,0.411764705882353,0,0
393,108,0,0,0
394,2,0,0,0
395,2,1,0,NA
396,18,1,0,NA
397,4,1,0,0
398,19,0.284313725490196,0.0689655172413793,NA
399,20,0.210526315789474,0,0
400,813,0.0909090909090909,0,0
401,78,0.294117647058824,0,0
402,284,0.214285714285714,0,0
403,5,1,0,NA
404,70,0.0727272727272727,0,0
405,6,0.5,0,0
406,1,2,0,0
407,19,0.043956043956044,0,0
408,5,0.5,0,NA
409,2,1,0,0
410,240,0.236363636363636,0,0
411,5,1,0,0
412,2,1,0,0
413,66,1,0,NA
414,70,1,0,NA
415,11,1,0,0
416,6,0.0614617940199336,0,0
417,13,0.04,0,0
418,86,0.307692307692308,0,0
419,32,0.5,0,NA
420,39,0.521739130434783,0,0
421,47,1,0,NA
422,5,0,0,0
423,85,0.916666666666667,0,NA
424,4,1,0,0
425,38,1,0,0
426,228,1,0,0
427,13,0.137010676156584,0,0
428,39,1,0,0
429,53,1,0,0
430,28,0.476190476190476,0,0
431,1,0.242424242424242,0,0
432,26,1,0,0
433,21,0.0526315789473684,0,0
434,200,1,0,0
435,4,0.241379310344828,0.142857142857143,0
436,5,0,0,0
437,1,0,0,0
438,23,0,0,0
439,1,1,0,NA
440,4,0,0,0
441,89,0.04,0,0
442,6,0,0,0
443,5,0.0731707317073171,0,0
444,5,1,0,NA
445,131,0.0476190476190476,0,1
446,9,0,0,0
447,2,0.0172413793103448,0,0
448,192,0.243243243243243,0,0
449,4,0.111111111111111,0,0
450,1,0.0597014925373134,0,0
451,3,1,0,NA
452,69,0,0,0
453,2,1,0,0
454,291,0.666666666666667,0,0
455,6,1,0,0
456,21,0.0422535211267606,0,0
457,7,1,0,0
458,13,0.227272727272727,0,0
459,1,0,0,0
460,2,0.171597633136095,0,0
461,3,0.012987012987013,0,0
462,86,0.119289340101523,0,0
463,1,1,0,NA
464,16,1,0,0
465,79,0,0,NA
466,1,0.166666666666667,0,0
467,7,0.5,0,0
468,52,0.666666666666667,0,NA
469,8,0.117647058823529,0,0
470,3,0,0,0
471,2,0.181818181818182,0,0
472,5,0.5,0,0
473,23,0.0754716981132075,0,0
474,1,1,0,0
475,5,0.0512820512820513,0,0
476,6,1,0,0
477,1,0,0,0
478,6,0.0441176470588235,0,0
479,12,1,0,NA
480,86,0.307692307692308,0,0
481,228,1,0,0
482,1,1,0,NA
483,3,1,0,0
484,1,1,0,0
485,1,0,0,0
486,91,0,0,NA
487,11,0,0,NA
488,2,1.23255813953488,0,0
489,1,1,0,0
490,291,0.666666666666667,0,0
491,13,1,0,0
492,5,1,0,0
493,80,0.625,0,0
494,29,0,0,NA
495,4,0,0,0
496,10,0.333333333333333,0,NA
497,1,0.0166666666666667,0,NA
498,49,0,0,0
499,19,1,0,0
500,70,1,0,0
501,15,1,0,0
502,8,0.973684210526316,0,NA
503,45,0.100917431192661,0,NA
504,3,0.0952380952380952,0,0
505,4,0,0,1
506,1,0.0130111524163569,0,0
507,9,0.0294117647058824,0,0
508,10,0.333333333333333,0,0
509,753,0.166666666666667,0,0
510,5,0.166666666666667,0,NA
511,1,0,0,0
512,48,1,0,0
513,41,1,0,0
514,5,0,0,0
515,8,0.210526315789474,0,0
516,1,0.105590062111801,0,0
517,1,1,0,0
518,17,1,0,0
519,4,0.625,0,NA
520,1,0.0363636363636364,0,0
521,1,1.5,0,NA
522,2,0,0,NA
523,1,0.15625,0,0
524,5,1,0,0
525,2,1,0,0
526,11,1,0,0
527,36,0.5,0,0
528,5,0,0,1
529,218,1,0,1
530,16,0,0,1
531,5,1,0,1
532,512,1,0,NA
533,1,0,0,1
534,587,0.25,0,1
535,91,1,0,1
536,105,1,0,1
537,2,1,0,1
538,17,1,0,NA
539,39,1,0,1
540,244,0.25,0,1
541,2908,1,0,1
542,2,1,0,1
543,4,1,0,1
544,2,1,0,1
545,154,0.240506329113924,0.0526315789473684,1
546,13,0.0865384615384615,0,1
547,1,1,0,1
548,11,0.2,3,1
549,378,0.125,0,0
550,1,0,0,0
551,839,0.428571428571429,0,0
552,11,0.101941747572816,0.142857142857143,0
553,16,0.666666666666667,0,0
554,33,1.33333333333333,0,NA
555,72,1,0,0
556,8,1,0,0
557,3,0.4,0,0
558,3,0,0,0
559,3,1,0,0
560,91,0,0,NA
561,1,0.5,0,0
562,27,1,0,0
563,2,1,0,NA
564,4,0,0,0
565,2,1,0,0
566,8,1,0,0
567,31,0.181818181818182,0,0
568,1,0.105590062111801,0,0
569,4,0.333333333333333,0,0
570,3,0.428571428571429,0,0
571,14,0.25,0,0
572,28,1,0,NA
573,3,0,0,0
574,1,0,0,0
575,41,0,0,0
576,36,0.0540540540540541,0,0
577,1,0.1,0,0
578,40,0,0,0
579,302,0.138528138528139,0,0
580,44,1,0,0
581,4,1,0,0
582,27,0.0327868852459016,0,0
583,75,0.818181818181818,0,0
584,5,0.5,0,0
585,1,0,0,0
586,2,0.1,0,0
587,19,1,0,0
588,35,0,0,0
589,60,1,0,0
590,170,1,0,0
591,25,1,0,0
592,4,1,0,0
593,321,0.0862068965517241,0,0
594,75,0,0,0
595,1,1,0,0
596,3,0.228571428571429,0,0
597,4,1,0,0
598,4,0.024,0,NA
599,7,0,0,0
600,162,1,0,0
601,20,0.0952380952380952,0,NA
602,1,0.523809523809524,0,0
603,2,0.264957264957265,0,0
604,15,0.0966666666666667,0,NA
605,1,0,0,0
606,4,1,0,0
607,359,0.285714285714286,0,NA
608,1,0.0421052631578947,0,0
609,5,1,0,0
610,18,1,0,0
611,1,0.523809523809524,0,0
612,1,1,0,0
613,7,0.333333333333333,0,0
614,3,0,0,NA
615,3,0,0,0
616,10,0.2,0,0
617,2,0.197183098591549,0,0
618,12,0.0517241379310345,0,0
619,2,1,0,0
620,31,0.142857142857143,0,0
621,2,0,0,0
622,1,0.129496402877698,0,0
623,39,1,0,0
624,8,0.0344827586206897,0,0
625,1,0,0,NA
626,1,0.647058823529412,0,NA
627,9,0.0294117647058824,0,0
628,4,0.878378378378378,0,NA
629,4,1,0,0
630,1,0.0882352941176471,0,NA
631,135,1,0,0
632,1,0.0925925925925926,0,0
633,89,0,0,NA
634,9,0.111111111111111,0,0
635,9,1,0,0
636,3,0.307692307692308,0.125,NA
637,5,1,0,NA
638,35,0.0769230769230769,0,NA
639,1,1,0,NA
640,92,0,0,1
641,5,1,0,NA
642,37,0.0178571428571429,0,1
643,1833,1,0,1
644,292,0,0,NA
645,5,0,0,1
646,1,1,0,1
647,5,0.110091743119266,0,NA
648,601,0.571428571428571,0,1
649,3,1,0,1
650,3,0.2,0,1
651,37,0.141509433962264,0,1
652,1,0,0,1
653,379,1,0,1
654,9,1,0,1
655,36,0.319444444444444,0,1
656,20,0.0337078651685393,0,1
657,6,0.0355329949238579,0,1
658,1,0,0,NA
659,1,0,0,0
660,2,1,0,NA
661,189,1,0,0
662,10,0.166666666666667,0,0
663,43,0.5,0,0
664,2,0.365384615384615,0,0
665,2,1,0,0
666,1,0.202797202797203,0.0344827586206897,0
667,34,0.0526315789473684,0,0
668,502,1,0,0
669,14,1,0,0
670,12,1,0,0
671,8,0,0,0
672,7,0.111111111111111,0,0
673,10,0.125,0,0
674,707,0.181818181818182,0,0
675,267,1,0,NA
676,22,1,0,0
677,18,1,0,0
678,3,1,0,0
679,1,0,0,0
680,3,0.647058823529412,0,0
681,250,1,0,0
682,5,0,0,0
683,1,0.14413407821229,0,0
684,12,0.995753715498938,0,NA
685,67,0.0672268907563025,0,0
686,2,1,0,NA
687,16,1,0,0
688,1,0.480769230769231,0,NA
689,1,0,0,0
690,1,1,0,0
691,6,0.578947368421053,0,0
692,14,0.5,0,0
693,6,0.0136986301369863,0,0
694,83,1,0,0
695,5,1,0,NA
696,8,0,0,0
697,1,0.2,4,0
698,119,1,0,0
699,4,1,0,NA
700,57,0.113475177304965,0.0625,0
701,371,1,0,0
702,1,0.145833333333333,0,NA
703,4,1,0,NA
704,5,0.627450980392157,0,0
705,12,0.428571428571429,0.333333333333333,0
706,241,0,0,0
707,10,0.878296146044625,0,0
708,13,0,0,0
709,689,0,0,0
710,32,1,0,0
711,76,0,0,0
712,4,0.111111111111111,0,0
713,8,1,0,NA
714,108,0.0552763819095477,0,0
715,43,0.0288065843621399,0,0
716,26,0,0,0
717,33,0.25,0,0
718,73,0.0352112676056338,0,NA
719,94,0,0,0
720,5,1,0,0
721,13,1,0,0
722,1286,1,0,0
723,7,1,0,0
724,68,0.5,0,0
725,6,0,0,0
726,1,0.292134831460674,0.00654664484451719,0
727,17,1,0,0
728,50,1,0.0555555555555556,0
729,36,1,0,0
730,6,0.19047619047619,0,0
731,9,1,0,0
732,6,0.0136986301369863,0,0
733,1,0.242424242424242,0,0
734,2,0,0,0
735,218,0.363636363636364,0,0
736,26,0.0465116279069767,0,0
737,19,1,0,0
738,10,1,0,0
739,186,1,0,NA
740,105,1,0,0
741,41,0,0,0
742,5,0.143236074270557,0,0
743,1,0.072562358276644,0.03125,NA
744,142,1,0,0
745,3,0.4,0,NA
746,1,0.333333333333333,3,0
747,28,0.25,0,NA
748,3,0.0158730158730159,0,0
749,17,1,0,0
750,67,0,0,NA
751,2,1,0,0
752,5,1,0,0
753,1,0.325714285714286,0,NA
754,5,1,0,0
755,593,0,0,0
756,5,0,0,0
757,2,1,0,NA
758,128,1,0,0
759,2,1.66666666666667,0,0
760,6,0.790697674418605,0,0
761,57,1,0,0
762,2,1,0,0
763,1,0,0,0
764,9,1,0,0
765,6,0.0952380952380952,0,0
766,31,1,0,0
767,6,0.571428571428571,0,NA
768,10,0.0441176470588235,0,0
769,2,1,0,0
770,34,1,0,NA
771,112,0.107142857142857,0,0
772,40,1,0.2,0
773,14,0,0,0
774,1,1,0,0
775,152,1,0,NA
776,17,0.0169491525423729,0,0
777,148,0,0,0
778,45,1,0,0
779,72,0.765151515151515,0,NA
780,142,0,0,0
781,2,0,0,0
782,4,1,0,0
783,5,0.5,0,NA
784,26,0.4,0,0
785,75,0.0714285714285714,0,0
786,20,0.142857142857143,0,0
787,1,0,0,NA
788,55,0.0357142857142857,0,0
789,15,1,0,0
790,3,1,0,0
791,122,0.954545454545455,0,0
792,228,1,0,0
793,80,1,0,NA
794,57,1,0,0
795,234,0,0,0
796,7,0.333333333333333,0,0
797,8,1,0,0
798,25,0.131821403260099,0.00537634408602151,0
799,4,0,0,0
800,127,0,0,0
801,19,1,0,0
802,33,0.142857142857143,0,0
803,5,0.0416666666666667,0,0
804,12,1,0,0
805,371,1,0,0
806,252,0,0,0
807,76,1,0,0
808,113,0.0487804878048781,0,0
809,26,1,0,0
810,8,1,0,0
811,5,1,0,0
812,2,0.0952380952380952,0,0
813,3,0.102040816326531,0,NA
814,14,0.5,0,0
815,12,1,0,NA
816,8,0,0,0
817,40,0.0242424242424242,0,0
818,11,0,0,0
819,13,0.1,0,0
820,21,0.161290322580645,0,0
821,174,0.0833333333333333,0,0
822,25,1,0,0
823,11,1,0,0
824,1,0,0,0
825,7,1,0,0
826,19,1,0,0
827,24,0.785714285714286,0,0
828,57,0.8,0,0
829,1,0,0,0
830,3,1,0,0
831,1,0,0,0
832,5,0.166666666666667,0,0
833,2,0.264957264957265,0,0
834,26,0.0769230769230769,0,NA
835,38,1,0,0
836,21,0.875,0,0
837,1,1,0,0
838,41,0.0333333333333333,0,0
839,37,1,0,0
840,37,1,0,0
841,2,1,0,0
842,18,0.0526315789473684,0,0
843,31,1,0,0
844,22,0.8,0,NA
845,17,0.857142857142857,0,0
846,57,1,0,0
847,9,1,0,NA
848,10,1,0,0
849,25,1,0,0
850,33,0.466666666666667,0,NA
851,2,1,0,NA
852,1,0,0,NA
853,11,0,0,0
854,2022,1,0,0
855,10,0.333333333333333,0,NA
856,18,0.107142857142857,0,0
857,128,1,0,0
858,88,0.122171945701357,0,0
859,27,1,0,0
860,17,0.2,0,0
861,2,0.333333333333333,0,NA
862,2,1,0,0
863,43,0.0156521739130435,0,0
864,359,0.285714285714286,0,0
865,72,1,0,0
866,34,1,0,NA
867,58,1,0,0
868,3,0,0,0
869,45,0,0,0
870,112,0.107142857142857,0,NA
871,2,0.146596858638743,0,0
872,86,0.119289340101523,0,0
873,14,0,0,0
874,1,0.666666666666667,0,0
875,1,0,0,NA
876,33,0.142857142857143,0,0
877,4,0.0740740740740741,0,0
878,2,0.00980392156862745,0,0
879,111,0.0641711229946524,0,0
880,4,1,0,NA
881,120,1,0,NA
882,39,1,0,0
883,4,0.0689655172413793,0,NA
884,24,0.0298507462686567,0,0
885,8,0.0769230769230769,0,0
886,2,0.171597633136095,0,0
887,3,0.0465116279069767,0,0
888,38,0.111111111111111,0,0
889,1,0,0,NA
890,12,0.194444444444444,0,0
891,1,0.216216216216216,0,0
892,1,0.0178571428571429,0,0
893,24,0.785714285714286,0,0
894,57,1,0,0
895,5,0,0,0
896,16,1,0,0
897,58,1,0,0
898,1,1,0,0
899,378,0.125,0,0
900,53,1,0,0
901,4,1,0,NA
902,3,1,0,0
903,31,0,0,0
904,26,0.342857142857143,0,0
905,7,0.5,0,0
906,9,1,0,0
907,2,0.146596858638743,0,0
908,18,1,0,0
909,9,0.0294117647058824,0,0
910,446,0.166666666666667,0,0
911,1,0.0430622009569378,0,0
912,39,0.102941176470588,0,NA
913,20,0,0,0
914,37,1,0,0
915,5,0.28125,0,0
916,515,0.333333333333333,0,0
917,2,1,0,0
918,3,1,0,0
919,48,0.00609756097560976,0,0
920,71,0,0,NA
921,5,1,0,0
922,15,0.117647058823529,0,0
923,33,0.142857142857143,0,0
924,30,0.181818181818182,0,0
925,9,1,0,0
926,32,1,0,0
927,24,0.0307017543859649,0,NA
928,1,0.279569892473118,0,0
929,157,0.91304347826087,0,NA
930,28,0.5,0,0
931,1,1,0,0
932,209,0.434782608695652,0,NA
933,77,1,0,NA
934,2,1,0,0
935,25,1,0,0
936,1,1,0,0
937,11,1,0,0
938,1,0.2,0,0
939,6,0.25,0,0
940,3,1,0,1
941,1,1,0,0
942,1,1,0,0
943,2,1,0,NA
944,6,1,0,0
945,19,0.230769230769231,0,0
946,49,0.4,0,0
947,135,0.766666666666667,0,0
948,2,1,0,0
949,3,0.2,0,0
950,4,0.197183098591549,0,0
951,30,0,0,0
952,38,0.0714285714285714,0,NA
953,111,0.0641711229946524,0,0
954,208,0,0,NA
955,16,0.666666666666667,0,0
956,2,1,0,0
957,6,0,0,0
958,46,0.0666666666666667,0,0
959,10,0,0,NA
960,1,0,0,0
961,1,0,0,0
962,25,1,0,0
963,19,0.043956043956044,0,NA
964,2,0.0606060606060606,0,NA
965,1,0,0,NA
966,1,0,0,NA
967,3,1,0,0
968,2,1,0,0
969,1,0,0,0
970,76,1,0,0
971,1,0,0,0
972,80,0.3,0,0
973,1,1,0,NA
974,3,0,0,0
975,8,0,0,0
976,1,0.0889252591380251,0,0
977,11,0.008,0,0
978,1,1,0,NA
979,102,1,0,NA
980,71,1,0,1
981,12,1,0,1
982,6,0.0714285714285714,0,1
983,36,0.0540540540540541,0,1
984,1507,0.15,0,1
985,321,0.0862068965517241,0,1
986,9,0.153846153846154,0,1
987,259,1,0,1
988,25,0.0394736842105263,0,1
989,2,0,0,1
990,5,0,0,1
991,71,0,0,1
992,1,1,0,NA
993,36,0,0,1
994,8,0.0344827586206897,0,1
995,33,1,0,0
996,2,1,0,NA
997,1,1,0,0
998,1,1,0,0
999,9,0.375,0,0
1000,5,0.0655737704918033,0,0
1001,113,0.0487804878048781,0,0
1002,21,0.0422535211267606,0,0
1003,20,1,0,NA
1004,8,0.0731707317073171,0,0
1005,29,0.0202702702702703,0,0
1006,6,0.181818181818182,0,NA
1007,10,0.0327868852459016,1.5,0
1008,43,0.0495049504950495,0,0
1009,67,1,0,0
1010,4,1,0,0
1011,18,1,0,NA
1012,122,0,0,0
1013,14,0.4,0,0
1014,4,0.376068376068376,0,0
1015,4,0.421052631578947,0,0
1016,3,0,0,0
1017,2,0,0,0
1018,6,0,0,0
1019,4,0.333333333333333,0,NA
1020,42,0.0714285714285714,0,0
1021,5,0.343283582089552,0,0
1022,4,0.0555555555555556,0,0
1023,292,0,0,NA
1024,60,0,0,0
1025,1,0,0,0
1026,5,1,0,0
1027,3,0.228571428571429,0,0
1028,58,0,0,0
1029,1,0.0666666666666667,0,0
1030,51,1,0,NA
1031,13,1,0,0
1032,8,0,0,0
1033,5,0.181818181818182,0,0
1034,13,1,0,NA
1035,1,0.166666666666667,0,NA
1036,82,1,0,0
1037,5,0.218181818181818,0,0
1038,11,1,0,0
1039,3,0.012987012987013,0,0
1040,2,0.88,0.0227272727272727,0
1041,16,0.666666666666667,0,0
1042,87,0.0150753768844221,0.166666666666667,NA
1043,1,0.5,0,0
1044,172,1,0,0
1045,12,0,0,NA
1046,12,0.0579710144927536,0,0
1047,8,0.117647058823529,0,0
1048,2,1,0,0
1049,53,1,0,0
1050,11,1,0,0
1051,107,0.945945945945946,0,0
1052,7,0.3625,0,0
1053,4,0.486486486486487,0,0
1054,103,1,0,0
1055,4,0,0,NA
1056,53,0.0857142857142857,0,0
1057,60,0.111111111111111,0,0
1058,33,1,0,0
1059,6,1,0,NA
1060,24,1,0,0
1061,1,0.523809523809524,0,0
1062,8,0.333333333333333,0,0
1063,12,0.0462962962962963,0,NA
1064,61,0.454545454545455,0,0
1065,62,0.0638297872340425,0,0
1066,7,1,0,NA
1067,119,1,0,0
1068,35,1,0,0
1069,4,0,0,0
1070,515,0.333333333333333,0,0
1071,7,0.336842105263158,0,0
1072,222,0.163265306122449,0,0
1073,37,0,0,NA
1074,91,1,0,0
1075,68,0.0116279069767442,0,0
1076,18,0.0483870967741935,0,0
1077,10,0.2,0,0
1078,2,0,0,NA
1079,88,1,0,0
1080,1,0.242424242424242,0,0
