,SOP_Order_Num,Reseller
756,38,0
757,2,NA
758,9,0
759,2,0
760,11,0
761,44,0
762,8,0
763,1,0
764,95,0
765,12,0
766,89,0
767,13,NA
768,41,0
769,1,0
770,192,NA
771,23,0
772,160,0
773,108,0
774,13,0
775,19,NA
776,50,0
777,169,0
778,134,0
779,522,NA
780,649,0
781,4,0
782,10,0
783,36,NA
784,386,0
785,99,0
786,67,0
787,6,NA
788,2,0
789,50,0
790,15,0
791,227,0
792,102,0
793,235,NA
794,16,0
795,2094,0
796,9,0
797,69,0
798,31,0
799,9,0
800,185,0
801,143,0
802,80,0
803,54,0
804,34,0
805,384,0
806,7,0
807,191,0
808,71,0
809,262,0
810,2,0
811,13,0
812,2,0
813,11,NA
814,31,0
815,374,NA
816,21,0
817,281,0
818,95,0
819,120,0
820,74,0
821,169,0
822,59,0
823,30,0
824,84,0
825,18,0
826,86,0
827,63,0
828,10,0
829,4,0
830,11,0
831,1,0
832,4,0
833,39,0
834,12,NA
835,157,0
836,43,0
837,17,0
838,5,0
839,48,0
840,17,0
841,18,0
842,21,0
843,101,0
844,178,NA
845,98,0
846,67,0
847,12,NA
848,53,0
849,158,0
850,121,NA
851,4,NA
852,8,NA
853,9,0
854,24,0
855,6,NA
856,258,0
857,3,0
858,1,0
859,16,0
860,80,0
861,2,NA
862,2,0
863,1818,0
864,145,0
865,47,0
866,6,NA
867,61,0
868,46,0
869,58,0
870,649,NA
871,2,0
872,19,0
873,2,0
874,3,0
875,2,NA
876,35,0
877,191,0
878,13,0
879,7,0
880,39,NA
881,565,NA
882,25,0
883,16,NA
884,31,0
885,15,0
886,285,0
887,9,0
888,124,0
889,1,NA
890,25,0
891,3,0
892,12,0
893,229,0
894,34,0
895,14,0
896,109,0
897,34,0
898,1,0
899,26,0
900,7,0
901,7,NA
902,877,0
903,36,0
904,132,0
905,284,0
906,68,0
907,249,0
908,107,0
909,2,0
910,3,0
911,1,0
912,300,NA
913,97,0
914,196,0
915,8,0
916,10,0
917,120,0
918,5,0
919,27,0
920,2,NA
921,12,0
922,5,0
923,21,0
924,489,0
925,35,0
926,35,0
927,16,NA
928,1,0
929,7,NA
930,66,0
931,3,0
932,9,NA
933,60,NA
934,4,0
935,270,0
936,1,0
937,67,0
938,1,0
939,31,0
940,248,1
941,3,0
942,9,0
943,4,NA
944,29,0
945,24,0
946,489,0
947,103,0
948,2,0
949,1,0
950,10,0
951,135,0
952,42,NA
953,137,0
954,14,NA
955,23,0
956,2,0
957,24,0
958,35,0
959,25,NA
960,1,0
961,8,0
962,4,0
963,2,NA
964,4,NA
965,1,NA
966,1,NA
967,8,0
968,4,0
969,3,0
970,144,0
971,49,0
972,3,0
973,18,NA
974,5,0
975,13,0
976,1,0
977,7,0
978,1,NA
979,16,NA
980,15,1
981,73,1
982,12,1
983,374,1
984,40,1
985,5,1
986,38,1
987,15,1
988,1,1
989,4,1
990,13,1
991,1,1
992,2,NA
993,163,1
994,2,1
995,115,0
996,2,NA
997,1,0
998,6,0
999,47,0
1000,30,0
1001,2,0
1002,34,0
1003,15,NA
1004,19,0
1005,59,0
1006,22,NA
1007,45,0
1008,565,0
1009,66,0
1010,15,0
1011,112,NA
1012,3697,0
1013,13,0
1014,2,0
1015,14,0
1016,6,0
1017,3,0
1018,14,0
1019,6,NA
1020,51,0
1021,18,0
1022,7,0
1023,46,NA
1024,46,0
1025,87,0
1026,8,0
1027,4,0
1028,2,0
1029,1,0
1030,9,NA
1031,2,0
1032,29,0
1033,14,0
1034,160,NA
1035,3,NA
1036,78,0
1037,64,0
1038,149,0
1039,10,0
1040,65,0
1041,2,0
1042,1,NA
1043,4,0
1044,33,0
1045,143,NA
1046,3,0
1047,1,0
1048,144,0
1049,80,0
1050,17,0
1051,282,0
1052,23,0
1053,92,0
1054,1,0
1055,37,NA
1056,1,0
1057,386,0
1058,54,0
1059,6,NA
1060,155,0
1061,50,0
1062,15,0
1063,18,NA
1064,2,0
1065,39,0
1066,96,NA
1067,220,0
1068,134,0
1069,18,0
1070,3,0
1071,10,0
1072,77,0
1073,64,NA
1074,14,0
1075,141,0
1076,1624,0
1077,645,0
1078,1,NA
1079,73,0
1080,1,0
1081,343,0
1082,10,0
1083,2,NA
1084,2,0
1085,440,0
1086,8,NA
1087,22,0
1088,2,0
1089,49,0
1090,135,0
1091,115,0
1092,1,0
1093,3,NA
1094,13,0
1095,18,0
1096,1511,0
1097,12,NA
1098,24,NA
1099,8,0
1100,97,0
1101,20,1
1102,110,0
1103,82,NA
1104,38,0
1105,1,0
1106,1,0
1107,15,0
1108,1011,0
1109,118,0
1110,1,0
1111,3,0
1112,94,0
1113,4,0
1114,2,0
1115,30,0
1116,1,0
1117,7,NA
1118,273,NA
1119,63,0
1120,25,0
1121,3,0
1122,645,0
1123,13,0
1124,1,0
1125,7,0
1126,25,0
1127,40,NA
1128,1,1
1129,24,0
1130,342,0
1131,4,0
1132,4,0
1133,1,NA
1134,65,0
1135,1,0
1136,43,0
1137,47,0
1138,3,0
1139,163,0
1140,125,0
1141,12,0
1142,1,0
1143,1511,NA
1144,1,0
1145,6,0
1146,15,0
1147,1,0
1148,110,0
1149,6,0
1150,22,0
1151,1,NA
1152,46,NA
1153,4,0
1154,23,0
1155,30,0
1156,137,0
1157,84,0
1158,15,0
1159,10,NA
1160,1821,0
1161,92,0
1162,1818,NA
1163,1,0
1164,43,0
1165,14,0
1166,134,0
1167,24,0
1168,354,0
1169,54,0
1170,91,0
1171,1,NA
1172,50,0
1173,2,0
1174,7,0
1175,1,0
1176,1,0
1177,58,0
1178,11,NA
1179,97,0
1180,78,0
1181,9,0
1182,25,0
1183,31,0
1184,12,NA
1185,10,0
1186,12,NA
1187,53,0
1188,6,0
1189,27,0
1190,10,0
1191,10,0
1192,30,0
1193,190,0
1194,58,0
1195,2,0
1196,1018,0
1197,15,0
1198,13,0
1199,2,NA
1200,8,NA
1201,68,0
1202,24,NA
1203,234,0
1204,1,0
1205,52,0
1206,2,0
1207,3,0
1208,40,0
1209,22,0
1210,2,0
1211,14,0
1212,6,NA
1213,14,0
1214,23,0
1215,22,0
1216,3,0
1217,548,NA
1218,2,0
1219,3,NA
1220,132,NA
1221,1241,0
1222,1,NA
1223,5,0
1224,13,0
1225,2,0
1226,14,NA
1227,46,1
1228,51,0
1229,2,0
1230,14,0
1231,5,0
1232,23,0
1233,212,0
1234,5,0
1235,6,0
1236,12,NA
1237,2,0
1238,4,NA
1239,7,NA
1240,934,0
1241,77,0
1242,104,0
1243,80,NA
1244,4,0
1245,102,0
1246,19,0
1247,2,0
1248,21,0
1249,46,0
1250,37,NA
1251,2,0
1252,34,0
1253,4,0
1254,26,0
1255,203,0
1256,3,0
1257,8,NA
1258,11,0
1259,64,0
1260,2,0
1261,1,NA
1262,97,0
1263,17,0
1264,10,0
1265,2,0
1266,47,0
1267,14,0
1268,15,0
1269,2,0
1270,19,0
1271,2,0
1272,2,0
1273,64,0
1274,1,0
1275,28,NA
1276,1,0
1277,6,0
1278,4,0
1279,26,0
1280,10,0
1281,38,0
1282,7,0
1283,4,0
1284,23,0
1285,4,NA
1286,132,1
1287,8,1
1288,3,1
1289,38,1
1290,103,1
1291,114,1
1292,4,1
1293,3,1
1294,489,NA
1295,33,1
1296,25,1
1297,1818,1
1298,18,NA
1299,5,1
1300,1818,1
1301,19,1
1302,76,1
1303,18,1
1304,1,1
1305,1032,1
1306,22,1
1307,4,0
1308,4,0
1309,2,0
1310,1,0
1311,4,0
1312,121,NA
1313,10,0
1314,3,NA
1315,18,NA
1316,1,0
1317,4,0
1318,10,0
1319,95,0
1320,1,0
1321,190,0
1322,1,NA
1323,41,0
1324,116,0
1325,9,NA
1326,49,0
1327,3,0
1328,8,0
1329,4,NA
1330,1,0
1331,1,NA
1332,3,0
1333,1,NA
1334,14,NA
1335,131,NA
1336,32,0
1337,1,0
1338,67,0
1339,60,0
1340,1,0
1341,40,NA
1342,12,0
1343,34,0
1344,35,0
1345,905,NA
1346,79,0
1347,1,0
1348,17,0
1349,4,0
1350,254,0
1351,3,0
1352,1,0
1353,13,0
1354,67,0
1355,15,0
1356,8,NA
1357,8,0
1358,4,0
1359,132,0
1360,69,0
1361,40,0
1362,7,0
1363,52,NA
1364,1,0
1365,428,NA
1366,3,1
1367,555,1
1368,53,1
1369,1,1
1370,76,1
1371,45,1
1372,7,1
1373,2,1
1374,6,1
1375,1452,NA
1376,4,1
1377,352,1
1378,46,1
1379,1,1
1380,2,1
1381,63,NA
1382,11,NA
1383,295,1
1384,441,1
1385,24,1
1386,49,1
1387,115,NA
1388,3,0
1389,131,0
1390,18,0
1391,40,0
1392,34,0
1393,7,0
1394,49,0
1395,1,0
1396,427,0
1397,24,NA
1398,3,0
1399,10,0
1400,168,NA
1401,545,NA
1402,1,NA
1403,14,0
1404,4,0
1405,6,0
1406,37,0
1407,59,NA
1408,1,0
1409,342,0
1410,8,0
1411,58,NA
1412,19,0
1413,1,0
1414,40,0
1415,9,0
1416,2,0
1417,220,0
1418,2,0
1419,2,NA
1420,507,0
1421,5,NA
1422,7,0
1423,33,0
1424,185,0
1425,51,NA
1426,2,0
1427,29,0
1428,3,0
1429,240,0
1430,28,0
1431,39,0
1432,13,NA
1433,28,NA
1434,30,NA
1435,3,0
1436,810,0
1437,103,0
1438,3,0
1439,48,0
1440,51,0
1441,34,0
1442,3,0
1443,39,0
1444,32,0
1445,503,0
1446,11,0
1447,3,0
1448,241,0
1449,12,0
1450,71,0
1451,3,0
1452,9,0
1453,4,0
1454,6,0
1455,2051,0
1456,6,0
1457,1,NA
1458,43,0
1459,4,0
1460,59,NA
1461,1,0
1462,52,NA
1463,92,NA
1464,9,NA
1465,44,0
1466,75,0
1467,42,NA
1468,689,0
1469,7,0
1470,24,0
1471,18,0
1472,25,0
1473,1,NA
1474,59,0
1475,20,0
1476,1,NA
1477,2,0
1478,13,NA
1479,1,0
1480,6,0
1481,10,0
1482,18,0
1483,117,0
1484,89,NA
1485,4,0
1486,15,NA
1487,20,0
1488,4,0
1489,419,0
1490,3,0
1491,36,NA
1492,6,0
1493,428,0
1494,95,NA
1495,170,0
1496,40,0
1497,12,0
1498,1,0
1499,2,0
1500,14,0
1501,2,0
1502,789,NA
1503,23,0
1504,11,0
1505,24,0
1506,16,NA
1507,220,0
1508,48,0
1509,5,NA
1510,1,0
1511,1,NA
1512,29,0
1513,61,0
1514,46,0
1515,86,0
1516,3,0
1517,118,0
1518,343,0
1519,182,NA
1520,25,0
1521,190,0
1522,44,0
1523,60,0
1524,28,0
1525,3,0
1526,5,0
1527,9,0
1528,4,NA
1529,877,NA
1530,5,0
1531,1,0
1532,59,NA
1533,4,0
1534,4,NA
1535,2,NA
1536,97,0
1537,20,0
1538,2,0
1539,7,0
1540,1,NA
1541,3,0
1542,28,0
1543,1,0
1544,49,0
1545,25,0
1546,2,0
1547,95,0
1548,23,0
1549,179,0
1550,3,NA
1551,17,NA
1552,3,NA
1553,49,0
1554,17,NA
1555,3,NA
1556,5,0
1557,3,0
1558,68,0
1559,4,NA
1560,14,0
1561,5,0
1562,7,0
1563,20,0
1564,67,0
1565,4,0
1566,8,NA
1567,3,NA
1568,1,0
1569,23,0
1570,1,0
1571,159,NA
1572,1331,0
1573,13,0
1574,45,0
1575,22,0
1576,11,0
1577,3,0
1578,41,0
1579,9,0
1580,1,0
1581,146,0
1582,183,0
1583,10,0
1584,6,0
1585,235,NA
1586,4,0
1587,57,0
1588,9,0
1589,29,NA
1590,1,NA
1591,31,NA
1592,56,0
1593,1821,0
1594,34,0
1595,4,0
1596,59,NA
1597,31,0
1598,80,0
1599,4,0
1600,36,0
1601,7,0
1602,212,NA
1603,20,0
1604,1,0
1605,13,NA
1606,43,0
1607,46,0
1608,26,NA
1609,4,NA
1610,592,0
1611,1,NA
1612,131,0
1613,12,0
1614,258,NA
1615,11,0
1616,16,NA
1617,5,0
1618,2,0
1619,3,0
1620,12,0
1621,52,NA
1622,5,0
1623,2,NA
1624,9,0
1625,7,0
1626,6,0
1627,1,0
1628,16,NA
1629,5,NA
1630,5,0
1631,1,0
1632,3,0
1633,20,0
1634,11,NA
1635,11,0
1636,18,0
1637,7,0
1638,12,NA
1639,1,0
1640,4,0
1641,4,NA
1642,1,0
1643,7,0
1644,4,0
1645,6,0
1646,23,NA
1647,61,0
1648,13,NA
1649,50,NA
1650,18,0
1651,1,0
1652,14,0
1653,46,1
1654,3,0
1655,200,1
1656,1,0
1657,6,0
1658,14,0
1659,116,0
1660,4,0
1661,1,0
1662,5,0
1663,10,0
1664,10,0
1665,17,NA
1666,4,NA
1667,1,NA
1668,1,0
1669,122,0
1670,40,NA
1671,9,0
1672,2,NA
1673,18,NA
1674,20,0
1675,4,0
1676,18,NA
1677,2,1
1678,2,1
1679,2657,1
1680,1,1
1681,6,1
1682,4,1
1683,599,1
1684,1,1
1685,1993,1
1686,3,NA
1687,14,NA
1688,121,NA
1689,51,1
1690,62,1
1691,1,1
1692,6,1
1693,34,1
1694,4,NA
1695,1,0
1696,31,NA
1697,185,0
1698,14,0
1699,1,0
1700,11,0
1701,3,0
1702,54,0
1703,1,0
1704,3,0
1705,20,0
1706,28,0
1707,95,0
1708,18,0
1709,239,0
1710,6,0
1711,7,0
1712,14,NA
1713,29,NA
1714,1,NA
1715,1,0
1716,5,0
1717,7,0
1718,3,NA
1719,1,0
1720,14,0
1721,5,0
1722,10,NA
1723,2,NA
1724,12,0
1725,47,0
1726,190,0
1727,10,0
1728,72,NA
1729,11,0
1730,702,0
1731,64,NA
1732,59,NA
1733,297,0
1734,23,0
1735,4,0
1736,14,0
1737,1,NA
1738,37,0
1739,75,NA
1740,35,0
1741,12,0
1742,20,0
1743,7,0
1744,3,0
1745,4,0
1746,8,0
1747,3,0
1748,91,0
1749,36,NA
1750,3,0
1751,11,0
1752,1,0
1753,10,0
1754,1,0
1755,115,0
1756,46,0
1757,35,0
1758,5,0
1759,212,0
1760,4,0
1761,10,0
1762,8,0
1763,1,0
1764,92,0
1765,9,0
1766,1,0
1767,10,NA
1768,1,0
1769,5,0
1770,6,0
1771,18,0
1772,3,0
1773,48,NA
1774,9,0
1775,11,0
1776,258,0
1777,4,0
1778,17,0
1779,20,0
1780,1342,0
1781,3,0
1782,236,NA
1783,7,0
1784,13,0
1785,9,0
1786,124,NA
1787,6,0
1788,163,NA
1789,1,0
1790,3,NA
1791,9309,1
1792,3,1
1793,3,NA
1794,98,1
1795,167,1
1796,10,NA
1797,58,1
1798,37,1
1799,1,1
1800,1,1
1801,9,NA
1802,2,1
1803,24,1
1804,37,NA
1805,7,1
1806,1,0
1807,1,0
1808,13,0
1809,8,NA
1810,4,0
1811,11,0
1812,6,0
1813,25,0
1814,384,0
1815,5,0
1816,2,0
1817,3,0
1818,6,0
1819,69,0
1820,38,0
1821,66,NA
1822,80,0
1823,354,0
1824,17,0
1825,39,0
1826,33,NA
1827,30,0
1828,4,0
1829,2,NA
1830,407,0
1831,2,0
1832,12,0
1833,3,NA
1834,6,0
1835,36,0
1836,31,0
1837,135,0
1838,1,0
1839,1,NA
1840,1328,0
1841,14,0
1842,1,NA
1843,10,0
1844,15,0
1845,3,0
1846,12,0
1847,17,0
1848,7,0
1849,2,0
1850,29,0
1851,239,0
1852,205,0
1853,11,0
1854,3,NA
1855,102,0
1856,7,0
1857,249,0
1858,10,0
1859,82,0
1860,13,NA
1861,33,0
1862,292,0
1863,4,0
1864,108,0
1865,159,0
1866,10,0
1867,1,0
1868,1,0
1869,2,0
1870,1,0
1871,244,0
1872,17,0
1873,158,0
1874,34,0
1875,22,0
1876,15,0
1877,16,0
1878,19,0
1879,173,NA
1880,368,0
1881,14,0
1882,6,0
1883,1,0
1884,33,0
1885,11,NA
1886,2,0
1887,312,0
1888,4,NA
1889,1,NA
1890,14,0
1891,12,0
1892,5,NA
1893,38,0
1894,7,NA
1895,7,0
1896,17,NA
1897,586,0
1898,4,0
1899,11,0
1900,10,0
1901,32,0
1902,1,0
1903,352,0
1904,12,NA
1905,3,NA
1906,9,0
1907,2,0
1908,74,0
1909,11,0
1910,12,0
1911,120,0
1912,114,0
1913,13,0
1914,3,0
1915,27,NA
1916,1,NA
1917,5,0
1918,9,0
1919,7,NA
1920,3,0
1921,10,NA
1922,200,0
1923,2,0
1924,5,0
1925,39,0
1926,51,0
1927,4,NA
1928,5,0
1929,13,NA
1930,25,0
1931,19,NA
1932,1,0
1933,118,0
1934,10,NA
1935,12,NA
1936,53,NA
1937,38,0
1938,49,0
1939,1,0
1940,2,0
1941,1,0
1942,28,0
1943,51,0
1944,46,NA
1945,8,0
1946,14,0
1947,10,0
1948,1,0
1949,2,0
1950,40,0
1951,1,0
1952,10,0
1953,4,0
1954,3,0
1955,1,0
1956,1,NA
1957,32,NA
1958,38,0
1959,3,0
1960,53,0
1961,241,NA
1962,14,0
1963,4,0
1964,14,0
1965,1,0
1966,24,0
1967,42,NA
1968,77,0
1969,7,0
1970,1241,0
1971,99,0
1972,162,0
1973,1,NA
1974,1384,0
1975,31,0
1976,12,0
1977,2,0
1978,1602,0
1979,1,0
1980,3,NA
1981,3,0
1982,1,0
1983,1,NA
1984,11,0
1985,4,NA
1986,5,NA
1987,28,0
1988,8,0
1989,5,NA
1990,2,NA
1991,2,0
1992,1,0
1993,59,0
1994,3,0
1995,389,NA
1996,331,0
1997,145,0
1998,2,0
1999,40,0
2000,599,0
2001,1,0
2002,4,0
2003,4,NA
2004,13,0
2005,427,NA
2006,7,0
2007,32,NA
2008,7,0
2009,4,0
2010,1,0
2011,1,0
2012,2,0
2013,15,0
2014,85,0
2015,4,0
2016,2,0
2017,2,NA
2018,8,0
2019,8,0
2020,1,0
2021,47,0
2022,55,0
2023,92,NA
2024,18,0
2025,440,0
2026,1,0
2027,1,0
2028,8,NA
2029,1,0
2030,1,0
2031,24,0
2032,452,0
2033,2,0
2034,31,NA
2035,5,NA
2036,13,0
2037,3,0
2038,220,NA
2039,2,0
2040,166,0
2041,2,0
2042,21,0
2043,7,NA
2044,2,0
2045,7,0
2046,3,0
2047,10,0
2048,19,0
2049,2,0
2050,41,0
2051,14,0
2052,1,0
2053,104,NA
2054,7,0
2055,65,0
2056,7,0
2057,4,0
2058,41,0
2059,3,0
2060,16,NA
2061,1,0
2062,1,0
2063,1,0
2064,229,0
2065,13,0
2066,89,0
2067,1,0
